,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,40.0,42.25,36.0,46.55,36.0,0.8,35.0,1.18,50.0
1,42.5,39.9,1.0,44.15,36.0,1.1,2.0,1.37,50.0
2,45.0,38.4,55.0,41.75,36.0,1.31,5.0,1.66,35.0
3,47.5,36.1,50.0,39.5,36.0,1.3,2.0,1.88,35.0
4,50.0,33.35,54.0,37.45,65.0,1.7,94.0,2.16,35.0
5,55.0,30.4,62.0,31.45,57.0,1.87,94.0,2.82,59.0
6,60.0,25.0,115.0,27.3,60.0,3.15,100.0,3.55,45.0
7,65.0,22.4,68.0,23.3,31.0,4.2,45.0,4.7,72.0
8,70.0,18.7,68.0,19.9,68.0,5.45,52.0,5.95,66.0
9,72.5,17.15,53.0,18.05,40.0,6.25,40.0,6.75,73.0
10,75.0,15.5,61.0,16.4,75.0,7.0,56.0,8.2,285.0
11,77.5,14.1,53.0,14.95,84.0,7.95,40.0,8.5,79.0
12,80.0,11.3,139.0,13.45,77.0,8.75,91.0,9.7,165.0
13,82.5,11.2,58.0,12.3,188.0,9.8,95.0,10.75,161.0
14,85.0,9.65,104.0,10.75,77.0,11.1,92.0,11.85,146.0
15,87.5,8.95,50.0,9.65,93.0,12.4,40.0,13.1,91.0
16,90.0,7.85,68.0,8.45,76.0,13.7,55.0,14.65,138.0
17,92.5,6.85,62.0,7.7,152.0,15.15,30.0,16.1,122.0
18,95.0,5.9,97.0,6.8,160.0,16.35,72.0,19.05,96.0
19,100.0,4.05,36.0,5.2,109.0,18.65,102.0,22.35,218.0
20,105.0,3.35,35.0,3.9,114.0,23.5,63.0,24.6,98.0
21,110.0,2.37,50.0,2.82,91.0,25.75,84.0,29.2,164.0
22,115.0,1.66,53.0,2.16,86.0,31.5,74.0,32.6,48.0
23,120.0,1.19,40.0,1.61,102.0,35.85,72.0,37.1,59.0
24,125.0,0.81,35.0,1.13,53.0,38.7,36.0,42.05,49.0
