,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,85.0,99.7,6.0,103.15,6.0,0.0,0.0,1.57,10.0
1,90.0,94.85,6.0,98.25,6.0,0.0,0.0,2.19,20.0
2,95.0,89.85,6.0,93.3,6.0,0.0,0.0,2.2,20.0
3,100.0,84.95,6.0,88.35,6.0,0.0,0.0,2.25,30.0
4,105.0,80.05,6.0,83.4,1.0,0.0,0.0,1.83,10.0
5,110.0,75.1,6.0,78.5,1.0,0.0,0.0,2.07,10.0
6,115.0,70.2,6.0,73.6,13.0,0.0,0.0,1.56,45.0
7,120.0,65.2,6.0,68.6,5.0,0.0,0.0,1.98,45.0
8,125.0,59.95,6.0,63.9,10.0,0.0,0.0,2.7,10.0
9,130.0,55.15,6.0,58.95,1.0,0.05,114.0,2.83,31.0
10,135.0,50.45,6.0,54.2,1.0,0.05,117.0,2.75,30.0
11,140.0,45.8,6.0,49.35,1.0,0.05,109.0,2.99,20.0
12,145.0,41.1,6.0,44.55,1.0,0.11,107.0,3.3,20.0
13,150.0,36.35,27.0,39.95,11.0,1.44,2.0,3.5,10.0
14,155.0,31.75,6.0,35.25,6.0,0.52,106.0,4.0,20.0
15,160.0,27.25,12.0,30.7,1.0,1.1,117.0,4.5,20.0
16,165.0,22.9,10.0,26.2,30.0,1.68,106.0,4.95,10.0
17,170.0,18.85,10.0,21.9,30.0,2.32,107.0,5.65,10.0
18,175.0,14.4,21.0,17.85,30.0,3.6,10.0,6.6,30.0
19,180.0,11.0,10.0,13.9,30.0,5.1,10.0,7.65,37.0
20,185.0,7.3,1.0,10.25,6.0,6.3,1.0,9.25,10.0
21,190.0,4.4,10.0,7.55,30.0,8.65,10.0,11.65,30.0
22,195.0,2.26,10.0,4.9,15.0,11.4,10.0,14.35,45.0
23,200.0,1.44,2.0,3.0,30.0,14.7,20.0,17.45,15.0
24,210.0,0.0,0.0,1.81,30.0,22.85,6.0,26.25,6.0
25,220.0,0.0,0.0,0.85,12.0,32.4,6.0,36.15,6.0
26,230.0,0.0,0.0,0.37,12.0,42.35,6.0,45.75,6.0
27,240.0,0.0,0.0,0.23,12.0,52.25,6.0,55.7,6.0
