,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,210.0,281.5,8.0,291.0,3.0,0.0,0.0,0.4,4.0
1,220.0,271.0,8.0,279.3,1.0,0.0,0.0,0.7,22.0
2,230.0,261.5,2.0,271.1,3.0,0.0,0.0,0.9,25.0
3,240.0,251.0,8.0,259.4,1.0,0.0,0.0,0.9,27.0
4,250.0,241.6,8.0,251.3,3.0,0.0,0.0,1.3,28.0
5,260.0,231.7,8.0,241.3,6.0,0.0,0.0,1.55,28.0
6,270.0,221.0,8.0,229.6,1.0,0.0,0.0,1.85,34.0
7,280.0,211.5,8.0,219.7,1.0,0.0,0.0,2.0,34.0
8,290.0,202.0,8.0,211.5,6.0,0.0,0.0,0.95,27.0
9,300.0,191.5,8.0,199.9,1.0,0.0,0.0,0.9,49.0
10,310.0,181.5,8.0,190.0,1.0,0.0,0.0,1.0,60.0
11,320.0,172.0,8.0,180.2,1.0,0.25,62.0,1.15,68.0
12,330.0,162.0,21.0,170.3,1.0,0.0,0.0,1.35,25.0
13,340.0,152.1,8.0,160.5,1.0,0.0,0.0,1.55,24.0
14,350.0,143.0,22.0,152.5,5.0,0.0,0.0,1.8,23.0
15,360.0,133.2,4.0,142.8,3.0,1.3,46.0,2.05,35.0
16,370.0,123.0,22.0,131.4,1.0,1.75,44.0,2.35,32.0
17,380.0,114.2,4.0,123.4,3.0,2.4,42.0,2.8,8.0
18,390.0,105.7,6.0,112.4,2.0,3.0,41.0,3.5,31.0
19,400.0,96.5,4.0,104.4,3.0,3.8,33.0,4.2,30.0
20,410.0,87.3,3.0,95.2,3.0,4.8,2.0,5.2,17.0
21,420.0,78.1,3.0,84.8,3.0,5.9,2.0,6.4,16.0
22,430.0,71.2,1.0,77.1,3.0,7.2,1.0,7.8,30.0
23,440.0,62.8,1.0,69.0,3.0,8.7,27.0,9.4,18.0
24,450.0,53.1,3.0,60.7,3.0,10.9,2.0,11.8,2.0
25,460.0,46.1,3.0,52.5,3.0,13.3,1.0,14.3,18.0
26,470.0,39.8,2.0,44.2,3.0,15.9,42.0,17.3,30.0
27,480.0,33.2,3.0,37.7,3.0,19.4,28.0,20.6,3.0
28,490.0,27.5,3.0,31.8,3.0,23.7,1.0,24.6,1.0
29,500.0,22.1,2.0,26.1,3.0,27.0,2.0,31.0,3.0
30,510.0,18.6,1.0,20.2,13.0,32.0,3.0,36.1,3.0
31,520.0,14.4,33.0,16.1,21.0,37.6,3.0,42.2,3.0
32,530.0,11.0,24.0,12.5,24.0,42.5,3.0,49.9,3.0
33,540.0,8.2,28.0,9.3,20.0,50.5,3.0,56.7,3.0
34,560.0,4.3,1.0,5.2,15.0,67.0,2.0,73.0,3.0
35,580.0,2.0,33.0,2.5,14.0,84.3,4.0,91.2,8.0
