,0,1,2,3,4
0,20.0,18.55,143.0,0.14,100.0
1,23.0,15.55,131.0,0.23,504.0
2,25.0,13.6,76.0,0.36,162.0
3,28.0,10.7,73.0,0.65,185.0
4,30.0,8.9,582.0,0.97,175.0
5,33.0,6.25,187.0,1.66,202.0
6,35.0,4.75,186.0,2.33,69.0
7,38.0,2.94,123.0,3.65,189.0
8,40.0,2.04,182.0,4.8,180.0
9,42.0,1.36,171.0,6.15,108.0
10,45.0,0.69,141.0,8.45,266.0
11,47.0,0.42,168.0,10.2,68.0
12,50.0,0.21,150.0,12.9,3.0
13,52.5,0.11,135.0,14.8,322.0
14,55.0,0.05,418.0,17.5,76.0
15,60.0,0.04,21.0,22.2,2.0
16,65.0,,0.0,27.0,2.0
17,70.0,,0.0,31.75,76.0
