,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,85.0,31.9,1.0,33.25,1.0,0.11,4.0,0.14,24.0
1,90.0,26.8,1.0,28.55,1.0,0.2,30.0,0.26,4.0
2,95.0,22.05,1.0,23.55,1.0,0.38,8.0,0.45,38.0
3,100.0,17.35,1.0,18.85,1.0,0.62,15.0,0.72,20.0
4,105.0,12.75,3.0,13.8,4.0,1.1,21.0,1.19,1.0
5,110.0,8.65,6.0,9.8,6.0,1.98,6.0,2.1,5.0
6,115.0,5.4,20.0,5.75,30.0,3.5,37.0,3.7,30.0
7,120.0,2.76,4.0,2.98,4.0,5.8,42.0,6.25,45.0
8,125.0,1.01,43.0,1.3,45.0,8.95,5.0,10.0,45.0
9,130.0,0.32,22.0,0.43,30.0,13.4,20.0,15.2,2.0
10,135.0,0.06,35.0,0.16,44.0,17.15,1.0,20.1,2.0
