,0,1,2,3,4
0,55.0,61.0,38.0,0.32,21.0
1,60.0,57.1,36.0,0.46,13.0
2,65.0,53.4,36.0,0.65,15.0
3,70.0,47.75,36.0,0.91,42.0
4,75.0,42.7,36.0,1.24,21.0
5,80.0,38.6,37.0,1.66,30.0
6,85.0,33.8,55.0,2.1,30.0
7,90.0,29.5,36.0,2.97,35.0
8,95.0,25.1,20.0,3.9,30.0
9,100.0,21.2,30.0,5.0,32.0
10,105.0,17.45,40.0,6.45,28.0
11,110.0,14.05,41.0,8.2,23.0
12,115.0,11.1,30.0,10.3,11.0
13,120.0,8.85,39.0,12.65,30.0
14,125.0,6.6,20.0,15.45,20.0
15,130.0,4.75,20.0,18.6,30.0
16,135.0,3.4,21.0,22.2,30.0
17,140.0,2.21,30.0,26.15,15.0
18,145.0,1.46,52.0,30.3,17.0
19,150.0,1.03,52.0,34.65,30.0
20,155.0,0.66,30.0,37.7,36.0
21,160.0,0.4,11.0,42.25,36.0
22,165.0,0.24,48.0,46.5,37.0
23,170.0,0.12,20.0,51.0,38.0
24,175.0,0.08,20.0,56.0,38.0
25,180.0,0.03,36.0,61.0,37.0
26,185.0,,0.0,65.5,38.0
