,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,100.0,35.6,30.0,39.3,30.0,0.0,0.0,0.45,708.0
1,105.0,30.6,4.0,34.65,30.0,0.0,0.0,0.61,667.0
2,110.0,25.85,4.0,29.8,31.0,0.0,0.0,0.64,480.0
3,115.0,21.05,4.0,24.85,30.0,0.48,74.0,0.55,123.0
4,120.0,18.05,31.0,18.45,30.0,0.68,109.0,0.8,1.0
5,125.0,13.6,21.0,13.9,30.0,1.2,80.0,1.31,134.0
6,130.0,9.4,63.0,9.65,20.0,1.98,11.0,2.16,1.0
7,135.0,5.8,51.0,6.1,252.0,3.4,69.0,3.6,182.0
8,140.0,3.1,56.0,3.3,53.0,5.65,128.0,5.95,313.0
9,145.0,1.42,1.0,1.5,1.0,8.9,93.0,9.25,82.0
10,150.0,0.54,35.0,0.63,218.0,13.0,359.0,13.65,39.0
11,155.0,0.17,108.0,0.24,144.0,16.3,4.0,19.95,30.0
12,160.0,0.0,0.0,0.27,688.0,21.0,30.0,24.85,4.0
