,0,1,2,3,4
0,65.0,68.7,21.0,0.03,282.0
1,70.0,63.7,21.0,0.14,293.0
2,75.0,59.5,1.0,0.52,276.0
3,80.0,53.7,21.0,0.48,349.0
4,85.0,48.7,21.0,0.75,394.0
5,90.0,43.7,21.0,1.18,405.0
6,95.0,39.6,50.0,1.71,418.0
7,100.0,35.0,254.0,2.4,424.0
8,105.0,30.7,348.0,3.55,437.0
9,110.0,26.2,492.0,4.45,438.0
10,115.0,22.1,502.0,5.45,513.0
11,120.0,18.6,488.0,7.15,426.0
12,125.0,15.6,470.0,8.8,3.0
13,130.0,12.8,460.0,12.0,40.0
14,135.0,10.55,488.0,14.35,50.0
15,140.0,8.6,431.0,16.4,460.0
16,145.0,7.1,422.0,19.65,441.0
17,150.0,5.2,442.0,22.95,492.0
18,155.0,3.35,474.0,26.45,469.0
19,160.0,2.79,313.0,30.1,470.0
20,165.0,2.34,374.0,34.05,438.0
21,170.0,0.97,427.0,38.05,432.0
22,175.0,1.52,40.0,42.35,462.0
23,180.0,0.36,406.0,46.75,446.0
24,185.0,0.51,380.0,51.05,31.0
25,190.0,0.28,316.0,55.65,36.0
26,195.0,0.3,337.0,60.25,36.0
27,200.0,0.21,263.0,64.85,31.0
