,0,1,2,3,4
0,18.0,35.6,36.0,,0.0
1,20.0,33.6,36.0,,0.0
2,21.0,32.6,37.0,,0.0
3,22.0,31.6,37.0,,0.0
4,23.0,30.6,37.0,,0.0
5,24.0,29.6,37.0,,0.0
6,25.0,28.6,36.0,,0.0
7,26.0,27.6,37.0,,0.0
8,27.0,26.6,37.0,,0.0
9,28.0,25.6,36.0,,0.0
10,29.0,24.6,48.0,,0.0
11,30.0,23.6,58.0,,0.0
12,31.0,22.6,74.0,,0.0
13,32.0,21.6,71.0,,0.0
14,33.0,20.6,43.0,,0.0
15,34.0,19.6,121.0,,0.0
16,35.0,18.6,469.0,,0.0
17,36.0,17.6,326.0,,0.0
18,37.0,16.6,137.0,,0.0
19,38.0,15.6,167.0,,0.0
20,39.0,14.6,96.0,,0.0
21,40.0,13.6,74.0,,0.0
22,41.0,12.6,75.0,,0.0
23,42.0,11.6,214.0,,0.0
24,43.0,10.5,270.0,,0.0
25,44.0,9.6,269.0,0.05,106.0
26,45.0,8.7,550.0,0.05,471.0
27,46.0,7.6,514.0,0.1,178.0
28,47.0,6.9,62.0,0.15,384.0
29,48.0,6.0,17.0,0.25,184.0
30,49.0,5.1,71.0,0.35,333.0
31,50.0,4.2,576.0,0.55,50.0
32,55.0,1.2,153.0,2.45,284.0
33,60.0,0.2,135.0,6.4,258.0
34,65.0,0.05,122.0,11.1,251.0
