date,expiration date,days till exp,adj strike,ask price,bid price,open interest,delta interest,adj ask breakeven,raw ask breakeven,adj bid breakeven,raw bid breakeven,adj closing,adj exp closing
2016-01-04,2016-01-08,4,0.5,2.32,2.0,0,0,0.05,0.05,-0.27,-0.27,2.77,2.14
2016-01-04,2016-01-08,4,1.0,1.82,1.52,0,0,0.05,0.05,-0.25,-0.25,2.77,2.14
2016-01-04,2016-01-08,4,1.5,1.33,1.03,1,0,0.06,0.06,-0.24,-0.24,2.77,2.14
2016-01-04,2016-01-08,4,2.0,0.83,0.56,0,0,0.06,0.06,-0.21,-0.21,2.77,2.14
2016-01-04,2016-01-08,4,2.5,0.33,0.28,13662,674,0.06,0.06,0.01,0.01,2.77,2.14
2016-01-04,2016-01-08,4,3.0,0.04,0.03,20591,793,0.27,0.27,0.26,0.26,2.77,2.14
2016-01-04,2016-01-08,4,3.5,0.06,0.0,227,0,0.79,0.79,0.73,0.73,2.77,2.14
2016-01-04,2016-01-08,4,4.0,0.13,0.0,0,0,1.36,1.36,1.23,1.23,2.77,2.14
2016-01-04,2016-01-08,4,4.5,0.13,0.0,0,0,1.86,1.86,1.73,1.73,2.77,2.14
2016-01-04,2016-01-08,4,5.0,0.08,0.0,0,0,2.31,2.31,2.23,2.23,2.77,2.14
2016-01-04,2016-01-08,4,5.5,0.13,0.0,0,0,2.86,2.86,2.73,2.73,2.77,2.14
2016-01-04,2016-01-08,4,6.0,0.07,0.0,0,0,3.3,3.3,3.23,3.23,2.77,2.14
2016-01-04,2016-01-15,9,0.5,2.32,2.19,5,0,0.05,0.05,-0.08,-0.08,2.77,2.03
2016-01-04,2016-01-15,9,1.0,1.83,1.61,261,0,0.06,0.06,-0.16,-0.16,2.77,2.03
2016-01-04,2016-01-15,9,1.5,1.31,1.2,1187,0,0.04,0.04,-0.07,-0.07,2.77,2.03
2016-01-04,2016-01-15,9,2.0,0.81,0.71,25079,-4,0.04,0.04,-0.06,-0.06,2.77,2.03
2016-01-04,2016-01-15,9,2.5,0.35,0.32,86425,-100,0.08,0.08,0.05,0.05,2.77,2.03
2016-01-04,2016-01-15,9,3.0,0.09,0.06,108295,196,0.32,0.32,0.29,0.29,2.77,2.03
