date,expiration date,days till exp,adj strike,ask price,bid price,open interest,delta interest,adj ask breakeven,raw ask breakeven,adj bid breakeven,raw bid breakeven,adj closing,adj exp closing
2016-01-04,2016-01-08,4,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,2.14
2016-01-04,2016-01-08,4,1.0,0.13,0.0,0,0,-1.9,-1.9,-1.77,-1.77,2.77,2.14
2016-01-04,2016-01-08,4,1.5,0.07,0.0,0,0,-1.34,-1.34,-1.27,-1.27,2.77,2.14
2016-01-04,2016-01-08,4,2.0,0.02,0.0,18,0,-0.79,-0.79,-0.77,-0.77,2.77,2.14
2016-01-04,2016-01-08,4,2.5,0.05,0.02,2415,83,-0.32,-0.32,-0.29,-0.29,2.77,2.14
2016-01-04,2016-01-08,4,3.0,0.32,0.25,282,20,-0.09,-0.09,-0.02,-0.02,2.77,2.14
2016-01-04,2016-01-08,4,3.5,1.0,0.52,0,0,-0.27,-0.27,0.21,0.21,2.77,2.14
2016-01-04,2016-01-08,4,4.0,1.48,1.01,0,0,-0.25,-0.25,0.22,0.22,2.77,2.14
2016-01-04,2016-01-08,4,4.5,1.85,1.51,0,0,-0.12,-0.12,0.22,0.22,2.77,2.14
2016-01-04,2016-01-08,4,5.0,2.35,1.99,0,0,-0.12,-0.12,0.24,0.24,2.77,2.14
2016-01-04,2016-01-08,4,5.5,2.85,2.34,0,0,-0.12,-0.12,0.39,0.39,2.77,2.14
2016-01-04,2016-01-08,4,6.0,3.7,2.85,0,0,-0.47,-0.47,0.38,0.38,2.77,2.14
2016-01-04,2016-01-15,9,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,2.03
2016-01-04,2016-01-15,9,1.0,0.07,0.0,173,0,-1.84,-1.84,-1.77,-1.77,2.77,2.03
2016-01-04,2016-01-15,9,1.5,0.04,0.0,49846,0,-1.31,-1.31,-1.27,-1.27,2.77,2.03
2016-01-04,2016-01-15,9,2.0,0.03,0.01,24179,0,-0.8,-0.8,-0.78,-0.78,2.77,2.03
2016-01-04,2016-01-15,9,2.5,0.08,0.05,130009,-5671,-0.35,-0.35,-0.32,-0.32,2.77,2.03
2016-01-04,2016-01-15,9,3.0,0.33,0.28,63353,-31,-0.1,-0.1,-0.05,-0.05,2.77,2.03
2016-01-04,2016-01-15,9,3.5,0.82,0.71,12260,0,-0.09,-0.09,0.02,0.02,2.77,2.03
2016-01-04,2016-01-15,9,4.0,1.31,1.2,26949,-35,-0.08,-0.08,0.03,0.03,2.77,2.03
2016-01-04,2016-01-15,9,4.5,1.81,1.7,4629,0,-0.08,-0.08,0.03,0.03,2.77,2.03
2016-01-04,2016-01-15,9,5.0,2.32,2.18,12867,0,-0.09,-0.09,0.05,0.05,2.77,2.03
2016-01-04,2016-01-15,9,5.5,2.82,2.68,2861,0,-0.09,-0.09,0.05,0.05,2.77,2.03
2016-01-04,2016-01-15,9,6.0,3.4,3.15,75,0,-0.17,-0.17,0.08,0.08,2.77,2.03
2016-01-04,2016-01-15,9,7.0,4.4,4.1,11670,0,-0.17,-0.17,0.13,0.13,2.77,2.03
2016-01-04,2016-01-22,14,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,2.02
2016-01-04,2016-01-22,14,1.0,0.13,0.0,0,0,-1.9,-1.9,-1.77,-1.77,2.77,2.02
2016-01-04,2016-01-22,14,1.5,0.13,0.0,0,0,-1.4,-1.4,-1.27,-1.27,2.77,2.02
2016-01-04,2016-01-22,14,2.0,0.1,0.0,43,0,-0.87,-0.87,-0.77,-0.77,2.77,2.02
2016-01-04,2016-01-22,14,2.5,0.14,0.09,35,10,-0.41,-0.41,-0.36,-0.36,2.77,2.02
2016-01-04,2016-01-22,14,3.0,0.39,0.3,30,5,-0.16,-0.16,-0.07,-0.07,2.77,2.02
2016-01-04,2016-01-22,14,3.5,1.02,0.54,0,0,-0.29,-0.29,0.19,0.19,2.77,2.02
2016-01-04,2016-01-22,14,4.0,1.32,1.02,0,0,-0.09,-0.09,0.21,0.21,2.77,2.02
2016-01-04,2016-01-22,14,4.5,1.99,1.51,0,0,-0.26,-0.26,0.22,0.22,2.77,2.02
2016-01-04,2016-01-22,14,5.0,2.5,1.99,0,0,-0.27,-0.27,0.24,0.24,2.77,2.02
2016-01-04,2016-01-22,14,5.5,3.25,2.39,0,0,-0.52,-0.52,0.34,0.34,2.77,2.02
2016-01-04,2016-01-29,19,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,2.2
2016-01-04,2016-01-29,19,1.0,0.05,0.0,0,0,-1.82,-1.82,-1.77,-1.77,2.77,2.2
2016-01-04,2016-01-29,19,1.5,0.07,0.01,19,0,-1.34,-1.34,-1.28,-1.28,2.77,2.2
2016-01-04,2016-01-29,19,2.0,0.06,0.01,2,0,-0.83,-0.83,-0.78,-0.78,2.77,2.2
2016-01-04,2016-01-29,19,2.5,0.16,0.11,14,0,-0.43,-0.43,-0.38,-0.38,2.77,2.2
2016-01-04,2016-01-29,19,3.0,0.41,0.35,322,-10,-0.18,-0.18,-0.12,-0.12,2.77,2.2
2016-01-04,2016-01-29,19,3.5,0.91,0.73,0,0,-0.18,-0.18,0.0,0.0,2.77,2.2
2016-01-04,2016-01-29,19,4.0,1.33,1.21,0,0,-0.1,-0.1,0.02,0.02,2.77,2.2
2016-01-04,2016-01-29,19,4.5,1.88,1.69,0,0,-0.15,-0.15,0.04,0.04,2.77,2.2
2016-01-04,2016-01-29,19,5.0,2.37,2.19,0,0,-0.14,-0.14,0.04,0.04,2.77,2.2
2016-01-04,2016-01-29,19,5.5,2.88,2.69,0,0,-0.15,-0.15,0.04,0.04,2.77,2.2
2016-01-04,2016-02-05,24,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,1.98
2016-01-04,2016-02-05,24,1.0,0.05,0.0,0,0,-1.82,-1.82,-1.77,-1.77,2.77,1.98
2016-01-04,2016-02-05,24,1.5,0.08,0.0,0,0,-1.35,-1.35,-1.27,-1.27,2.77,1.98
2016-01-04,2016-02-05,24,2.0,0.11,0.01,0,0,-0.88,-0.88,-0.78,-0.78,2.77,1.98
2016-01-04,2016-02-05,24,2.5,0.16,0.13,3,0,-0.43,-0.43,-0.4,-0.4,2.77,1.98
2016-01-04,2016-02-05,24,3.0,0.5,0.37,2,0,-0.27,-0.27,-0.14,-0.14,2.77,1.98
2016-01-04,2016-02-05,24,3.5,0.92,0.73,3,0,-0.19,-0.19,0.0,0.0,2.77,1.98
2016-01-04,2016-02-05,24,4.0,1.33,1.2,0,0,-0.1,-0.1,0.03,0.03,2.77,1.98
2016-01-04,2016-02-05,24,4.5,1.87,1.69,0,0,-0.14,-0.14,0.04,0.04,2.77,1.98
2016-01-04,2016-02-05,24,5.0,2.38,2.18,0,0,-0.15,-0.15,0.05,0.05,2.77,1.98
2016-01-04,2016-02-05,24,5.5,2.88,2.67,0,0,-0.15,-0.15,0.06,0.06,2.77,1.98
2016-01-04,2016-02-12,29,0.5,0.02,0.0,0,0,-2.29,-2.29,-2.27,-2.27,2.77,1.83
2016-01-04,2016-02-12,29,1.0,0.06,0.0,0,0,-1.83,-1.83,-1.77,-1.77,2.77,1.83
2016-01-04,2016-02-12,29,1.5,0.09,0.0,0,0,-1.36,-1.36,-1.27,-1.27,2.77,1.83
2016-01-04,2016-02-12,29,2.0,0.13,0.02,0,0,-0.9,-0.9,-0.79,-0.79,2.77,1.83
2016-01-04,2016-02-12,29,2.5,0.17,0.14,1,1,-0.44,-0.44,-0.41,-0.41,2.77,1.83
2016-01-04,2016-02-12,29,3.0,0.51,0.38,1,1,-0.28,-0.28,-0.15,-0.15,2.77,1.83
2016-01-04,2016-02-12,29,3.5,0.94,0.75,0,0,-0.21,-0.21,-0.02,-0.02,2.77,1.83
2016-01-04,2016-02-12,29,4.0,1.32,1.2,0,0,-0.09,-0.09,0.03,0.03,2.77,1.83
2016-01-04,2016-02-12,29,4.5,1.88,1.69,0,0,-0.15,-0.15,0.04,0.04,2.77,1.83
2016-01-04,2016-02-12,29,5.0,2.39,2.18,0,0,-0.16,-0.16,0.05,0.05,2.77,1.83
2016-01-04,2016-02-12,29,5.5,2.88,2.68,0,0,-0.15,-0.15,0.05,0.05,2.77,1.83
2016-01-04,2016-02-19,34,0.5,0.03,0.0,0,0,-2.3,-2.3,-2.27,-2.27,2.77,1.91
2016-01-04,2016-02-19,34,1.0,0.07,0.0,0,0,-1.84,-1.84,-1.77,-1.77,2.77,1.91
2016-01-04,2016-02-19,34,1.5,0.09,0.02,5,5,-1.36,-1.36,-1.29,-1.29,2.77,1.91
2016-01-04,2016-02-19,34,2.0,0.11,0.06,10,0,-0.88,-0.88,-0.83,-0.83,2.77,1.91
2016-01-04,2016-02-19,34,2.5,0.18,0.16,12511,-131,-0.45,-0.45,-0.43,-0.43,2.77,1.91
2016-01-04,2016-02-19,34,3.0,0.49,0.41,145,1,-0.26,-0.26,-0.18,-0.18,2.77,1.91
2016-01-04,2016-02-19,34,3.5,0.88,0.77,7,0,-0.15,-0.15,-0.04,-0.04,2.77,1.91
2016-01-04,2016-02-19,34,4.0,1.3,1.23,1,1,-0.07,-0.07,0.0,0.0,2.77,1.91
2016-01-04,2016-02-19,34,4.5,1.83,1.71,2,0,-0.1,-0.1,0.02,0.02,2.77,1.91
2016-01-04,2016-02-19,34,5.0,2.33,2.19,0,0,-0.1,-0.1,0.04,0.04,2.77,1.91
2016-01-04,2016-02-19,34,6.0,3.4,3.2,0,0,-0.17,-0.17,0.03,0.03,2.77,1.91
2016-01-04,2016-04-15,74,0.5,0.04,0.0,0,0,-2.31,-2.31,-2.27,-2.27,2.77,2.7
2016-01-04,2016-04-15,74,1.0,0.09,0.0,10,0,-1.86,-1.86,-1.77,-1.77,2.77,2.7
2016-01-04,2016-04-15,74,1.5,0.12,0.03,1254,6,-1.39,-1.39,-1.3,-1.3,2.77,2.7
2016-01-04,2016-04-15,74,2.0,0.14,0.11,1897,0,-0.91,-0.91,-0.88,-0.88,2.77,2.7
2016-01-04,2016-04-15,74,2.5,0.31,0.26,1617,16,-0.58,-0.58,-0.53,-0.53,2.77,2.7
2016-01-04,2016-04-15,74,3.0,0.59,0.5,1213,0,-0.36,-0.36,-0.27,-0.27,2.77,2.7
2016-01-04,2016-04-15,74,3.5,0.99,0.83,498,0,-0.26,-0.26,-0.1,-0.1,2.77,2.7
2016-01-04,2016-04-15,74,4.0,1.41,1.26,0,0,-0.18,-0.18,-0.03,-0.03,2.77,2.7
2016-01-04,2016-04-15,74,4.5,1.95,1.73,24,0,-0.22,-0.22,0.0,0.0,2.77,2.7
2016-01-04,2016-04-15,74,5.0,2.36,2.2,20,0,-0.13,-0.13,0.03,0.03,2.77,2.7
2016-01-04,2016-04-15,74,6.0,3.4,3.15,0,0,-0.17,-0.17,0.08,0.08,2.77,2.7
2016-01-04,2016-07-15,139,0.5,0.06,0.0,0,0,-2.33,-2.33,-2.27,-2.27,2.77,5.14
2016-01-04,2016-07-15,139,1.0,0.11,0.0,0,0,-1.88,-1.88,-1.77,-1.77,2.77,5.14
2016-01-04,2016-07-15,139,1.5,0.18,0.04,0,0,-1.45,-1.45,-1.31,-1.31,2.77,5.14
2016-01-04,2016-07-15,139,2.0,0.23,0.15,633,0,-1.0,-1.0,-0.92,-0.92,2.77,5.14
2016-01-04,2016-07-15,139,2.5,0.41,0.34,3702,0,-0.68,-0.68,-0.61,-0.61,2.77,5.14
2016-01-04,2016-07-15,139,3.0,0.79,0.56,3144,0,-0.56,-0.56,-0.33,-0.33,2.77,5.14
2016-01-04,2016-07-15,139,3.5,1.15,0.95,295,5,-0.42,-0.42,-0.22,-0.22,2.77,5.14
2016-01-04,2016-07-15,139,4.0,1.55,1.3,12,0,-0.32,-0.32,-0.07,-0.07,2.77,5.14
2016-01-04,2016-07-15,139,4.5,1.98,1.74,0,0,-0.25,-0.25,-0.01,-0.01,2.77,5.14
2016-01-04,2017-01-20,274,0.5,0.14,0.0,26,0,-2.41,-2.41,-2.27,-2.27,2.77,9.75
2016-01-04,2017-01-20,274,1.0,0.2,0.02,25372,0,-1.97,-1.97,-1.79,-1.79,2.77,9.75
2016-01-04,2017-01-20,274,1.5,0.23,0.14,15688,0,-1.5,-1.5,-1.41,-1.41,2.77,9.75
2016-01-04,2017-01-20,274,2.0,0.49,0.27,21275,0,-1.26,-1.26,-1.04,-1.04,2.77,9.75
2016-01-04,2017-01-20,274,2.5,0.59,0.55,5819,1,-0.86,-0.86,-0.82,-0.82,2.77,9.75
2016-01-04,2017-01-20,274,3.0,0.88,0.72,8169,1,-0.65,-0.65,-0.49,-0.49,2.77,9.75
2016-01-04,2017-01-20,274,3.5,1.33,1.03,4182,0,-0.6,-0.6,-0.3,-0.3,2.77,9.75
2016-01-04,2017-01-20,274,4.0,1.61,1.4,1488,35,-0.38,-0.38,-0.17,-0.17,2.77,9.75
2016-01-04,2017-01-20,274,4.5,2.22,1.78,1312,0,-0.49,-0.49,-0.05,-0.05,2.77,9.75
2016-01-04,2017-01-20,274,5.0,2.64,2.35,18745,0,-0.41,-0.41,-0.12,-0.12,2.77,9.75
2016-01-04,2017-01-20,274,5.5,3.1,2.69,3569,20,-0.37,-0.37,0.04,0.04,2.77,9.75
2016-01-04,2017-01-20,274,7.0,4.5,4.1,4323,0,-0.27,-0.27,0.13,0.13,2.77,9.75
2016-01-04,2018-01-19,534,0.5,0.34,0.0,0,0,-2.61,-2.61,-2.27,-2.27,2.77,12.59
2016-01-04,2018-01-19,534,1.0,0.3,0.09,50,0,-2.07,-2.07,-1.86,-1.86,2.77,12.59
2016-01-04,2018-01-19,534,1.5,0.46,0.32,1959,1,-1.73,-1.73,-1.59,-1.59,2.77,12.59
2016-01-04,2018-01-19,534,2.0,0.63,0.53,13637,1,-1.4,-1.4,-1.3,-1.3,2.77,12.59
2016-01-04,2018-01-19,534,2.5,1.0,0.75,111,0,-1.27,-1.27,-1.02,-1.02,2.77,12.59
2016-01-04,2018-01-19,534,3.0,1.34,0.93,243,0,-1.11,-1.11,-0.7,-0.7,2.77,12.59
2016-01-04,2018-01-19,534,3.5,1.8,1.22,10,0,-1.07,-1.07,-0.49,-0.49,2.77,12.59
2016-01-04,2018-01-19,534,4.0,2.19,1.56,1214,0,-0.96,-0.96,-0.33,-0.33,2.77,12.59
