date,close,dividend amount,adjustment factor
1999-11-01,10.155,0.0,2.0
1999-11-02,10.28,0.0,2.0
1999-11-03,10.655,0.0,2.0
1999-11-04,10.315,0.0,2.0
1999-11-05,10.625,0.0,2.0
1999-11-08,10.72,0.0,2.0
1999-11-09,10.53,0.0,2.0
1999-11-10,11.5,0.0,2.0
1999-11-11,14.125,0.0,2.0
1999-11-12,13.28,0.0,2.0
1999-11-15,12.78,0.0,2.0
1999-11-16,12.875,0.0,2.0
1999-11-17,13.345,0.0,2.0
1999-11-18,13.0,0.0,2.0
1999-11-19,13.565,0.0,2.0
1999-11-22,13.47,0.0,2.0
1999-11-23,13.405,0.0,2.0
1999-11-24,13.625,0.0,2.0
1999-11-26,13.845,0.0,2.0
1999-11-29,15.25,0.0,2.0
1999-11-30,14.125,0.0,2.0
1999-12-01,13.75,0.0,2.0
1999-12-02,15.25,0.0,2.0
1999-12-03,15.5,0.0,2.0
1999-12-06,15.72,0.0,2.0
1999-12-07,15.875,0.0,2.0
1999-12-08,14.875,0.0,2.0
1999-12-09,14.69,0.0,2.0
1999-12-10,14.625,0.0,2.0
1999-12-13,14.535,0.0,2.0
1999-12-14,13.815,0.0,2.0
1999-12-15,13.565,0.0,2.0
1999-12-16,14.75,0.0,2.0
1999-12-17,14.75,0.0,2.0
1999-12-20,14.625,0.0,2.0
1999-12-21,15.03,0.0,2.0
1999-12-22,14.405,0.0,2.0
1999-12-23,14.315,0.0,2.0
1999-12-27,14.47,0.0,2.0
1999-12-28,14.375,0.0,2.0
1999-12-29,14.22,0.0,2.0
1999-12-30,14.22,0.0,2.0
1999-12-31,14.47,0.0,2.0
2000-01-03,14.47,0.0,2.0
2000-01-04,14.625,0.0,2.0
2000-01-05,14.655,0.0,2.0
2000-01-06,16.0,0.0,2.0
2000-01-07,16.25,0.0,2.0
2000-01-10,17.5,0.0,2.0
2000-01-11,17.03,0.0,2.0
2000-01-12,18.125,0.0,2.0
2000-01-13,18.875,0.0,2.0
2000-01-14,20.19,0.0,2.0
2000-01-18,19.5,0.0,2.0
2000-01-19,19.595,0.0,2.0
2000-01-20,19.5,0.0,2.0
2000-01-21,18.94,0.0,2.0
2000-01-24,17.25,0.0,2.0
2000-01-25,20.0,0.0,2.0
2000-01-26,18.5,0.0,2.0
2000-01-27,18.47,0.0,2.0
2000-01-28,17.625,0.0,2.0
2000-01-31,18.0,0.0,2.0
2000-02-01,18.28,0.0,2.0
2000-02-02,18.03,0.0,2.0
2000-02-03,19.5,0.0,2.0
2000-02-04,19.28,0.0,2.0
2000-02-07,20.655,0.0,2.0
2000-02-08,20.69,0.0,2.0
2000-02-09,21.03,0.0,2.0
2000-02-10,21.25,0.0,2.0
2000-02-11,22.75,0.0,2.0
2000-02-14,21.625,0.0,2.0
2000-02-15,21.75,0.0,2.0
2000-02-16,21.875,0.0,2.0
2000-02-17,21.5,0.0,2.0
2000-02-18,21.5,0.0,2.0
2000-02-22,20.905,0.0,2.0
2000-02-23,20.53,0.0,2.0
2000-02-24,21.28,0.0,2.0
2000-02-25,20.25,0.0,2.0
2000-02-28,18.875,0.0,2.0
2000-02-29,19.75,0.0,2.0
2000-03-01,20.25,0.0,2.0
2000-03-02,19.625,0.0,2.0
2000-03-03,20.75,0.0,2.0
2000-03-06,23.75,0.0,2.0
2000-03-07,27.5,0.0,2.0
2000-03-08,26.75,0.0,2.0
2000-03-09,29.065,0.0,2.0
2000-03-10,26.0,0.0,2.0
2000-03-13,25.75,0.0,2.0
2000-03-14,24.0,0.0,2.0
2000-03-15,24.625,0.0,2.0
2000-03-16,24.595,0.0,2.0
2000-03-17,25.0,0.0,2.0
2000-03-20,26.875,0.0,2.0
2000-03-21,27.405,0.0,2.0
2000-03-22,28.75,0.0,2.0
2000-03-23,27.69,0.0,2.0
2000-03-24,27.69,0.0,2.0
2000-03-27,27.095,0.0,2.0
2000-03-28,27.565,0.0,2.0
2000-03-29,27.375,0.0,2.0
2000-03-30,30.0,0.0,2.0
2000-03-31,29.5,0.0,2.0
2000-04-03,30.44,0.0,2.0
2000-04-04,30.565,0.0,2.0
2000-04-05,34.19,0.0,2.0
2000-04-06,35.5,0.0,2.0
2000-04-07,37.75,0.0,2.0
2000-04-10,37.125,0.0,2.0
2000-04-11,35.315,0.0,2.0
2000-04-12,35.315,0.0,2.0
2000-04-13,35.5,0.0,2.0
2000-04-14,33.0,0.0,2.0
2000-04-17,36.315,0.0,2.0
2000-04-18,39.5,0.0,2.0
2000-04-19,37.625,0.0,2.0
2000-04-20,39.125,0.0,2.0
2000-04-24,40.5,0.0,2.0
2000-04-25,43.75,0.0,2.0
2000-04-26,41.125,0.0,2.0
2000-04-27,42.625,0.0,2.0
2000-04-28,43.75,0.0,2.0
2000-05-01,44.19,0.0,2.0
2000-05-02,44.75,0.0,2.0
2000-05-03,43.875,0.0,2.0
2000-05-04,45.0,0.0,2.0
2000-05-05,46.0,0.0,2.0
2000-05-08,44.375,0.0,2.0
2000-05-09,41.75,0.0,2.0
2000-05-10,39.97,0.0,2.0
2000-05-11,43.875,0.0,2.0
2000-05-12,42.845,0.0,2.0
2000-05-15,42.75,0.0,2.0
2000-05-16,44.25,0.0,2.0
2000-05-17,42.5,0.0,2.0
2000-05-18,43.25,0.0,2.0
2000-05-19,41.905,0.0,2.0
2000-05-22,40.25,0.0,2.0
2000-05-23,37.75,0.0,2.0
2000-05-24,36.345,0.0,2.0
2000-05-25,35.315,0.0,2.0
2000-05-26,37.0,0.0,2.0
2000-05-30,43.0,0.0,2.0
2000-05-31,40.815,0.0,2.0
2000-06-01,42.0,0.0,2.0
2000-06-02,45.065,0.0,2.0
2000-06-05,45.565,0.0,2.0
2000-06-06,45.125,0.0,2.0
2000-06-07,43.5,0.0,2.0
2000-06-08,43.565,0.0,2.0
2000-06-09,44.375,0.0,2.0
2000-06-12,42.75,0.0,2.0
2000-06-13,44.0,0.0,2.0
2000-06-14,41.875,0.0,2.0
2000-06-15,41.44,0.0,2.0
2000-06-16,41.25,0.0,2.0
2000-06-19,45.905,0.0,2.0
2000-06-20,45.625,0.0,2.0
2000-06-21,47.5,0.0,2.0
2000-06-22,45.625,0.0,2.0
2000-06-23,43.815,0.0,2.0
2000-06-26,43.625,0.0,2.0
2000-06-27,42.125,0.0,2.0
2000-06-28,40.345,0.0,2.0
2000-06-29,38.125,0.0,2.0
2000-06-30,38.625,0.0,2.0
2000-07-03,42.125,0.0,2.0
2000-07-05,37.625,0.0,2.0
2000-07-06,38.75,0.0,2.0
2000-07-07,41.0,0.0,2.0
2000-07-10,42.5,0.0,2.0
2000-07-11,41.75,0.0,2.0
2000-07-12,42.155,0.0,2.0
2000-07-13,42.75,0.0,2.0
2000-07-14,45.0,0.0,2.0
2000-07-17,45.625,0.0,2.0
2000-07-18,45.5,0.0,2.0
2000-07-19,45.125,0.0,2.0
2000-07-20,43.065,0.0,2.0
2000-07-21,40.065,0.0,2.0
2000-07-24,39.0,0.0,2.0
2000-07-25,39.375,0.0,2.0
2000-07-26,38.095,0.0,2.0
2000-07-27,35.0,0.0,2.0
2000-07-28,35.5,0.0,2.0
2000-07-31,36.0,0.0,2.0
2000-08-01,33.875,0.0,2.0
2000-08-02,31.25,0.0,2.0
2000-08-03,32.75,0.0,2.0
2000-08-04,31.375,0.0,2.0
2000-08-07,32.5,0.0,2.0
2000-08-08,30.625,0.0,2.0
2000-08-09,30.875,0.0,2.0
2000-08-10,28.5,0.0,2.0
2000-08-11,28.875,0.0,2.0
2000-08-14,31.5,0.0,2.0
2000-08-15,31.875,0.0,2.0
2000-08-16,32.625,0.0,2.0
2000-08-17,34.065,0.0,2.0
2000-08-18,35.125,0.0,2.0
2000-08-21,34.095,0.0,2.0
2000-08-22,34.44,0.0,1.0
2000-08-23,34.75,0.0,1.0
2000-08-24,34.94,0.0,1.0
2000-08-25,34.5,0.0,1.0
2000-08-28,34.5,0.0,1.0
2000-08-29,34.75,0.0,1.0
2000-08-30,35.0,0.0,1.0
2000-08-31,37.25,0.0,1.0
2000-09-01,37.5,0.0,1.0
2000-09-05,34.75,0.0,1.0
2000-09-06,32.0,0.0,1.0
2000-09-07,33.0,0.0,1.0
2000-09-08,31.88,0.0,1.0
2000-09-11,32.25,0.0,1.0
2000-09-12,30.5,0.0,1.0
2000-09-13,29.0,0.0,1.0
2000-09-14,28.38,0.0,1.0
2000-09-15,27.75,0.0,1.0
2000-09-18,26.5,0.0,1.0
2000-09-19,30.38,0.0,1.0
2000-09-20,29.69,0.0,1.0
2000-09-21,23.94,0.0,1.0
2000-09-22,26.5,0.0,1.0
2000-09-25,25.94,0.0,1.0
2000-09-26,24.88,0.0,1.0
2000-09-27,24.0,0.0,1.0
2000-09-28,23.63,0.0,1.0
2000-09-29,24.0,0.0,1.0
2000-10-02,23.25,0.0,1.0
2000-10-03,23.69,0.0,1.0
2000-10-04,24.5,0.0,1.0
2000-10-05,23.5,0.0,1.0
2000-10-06,22.0,0.0,1.0
2000-10-09,22.38,0.0,1.0
2000-10-10,22.75,0.0,1.0
2000-10-11,23.5,0.0,1.0
2000-10-12,22.56,0.0,1.0
2000-10-13,21.88,0.0,1.0
2000-10-16,20.38,0.0,1.0
2000-10-17,18.38,0.0,1.0
2000-10-18,18.13,0.0,1.0
2000-10-19,21.81,0.0,1.0
2000-10-20,22.13,0.0,1.0
2000-10-23,21.88,0.0,1.0
2000-10-24,20.19,0.0,1.0
