date,close,dividend amount,adjustment factor
1999-11-01,69.13,0.0,1
1999-11-02,66.44,0.0,1
1999-11-03,65.81,0.0,1
1999-11-04,63.06,0.0,1
1999-11-05,64.94,0.0,1
1999-11-08,78.0,0.0,1
1999-11-09,70.81,0.0,1
1999-11-10,72.0,0.0,1
1999-11-11,73.0,0.0,1
1999-11-12,74.94,0.0,1
1999-11-15,73.5,0.0,1
1999-11-16,78.94,0.0,1
1999-11-17,76.5,0.0,1
1999-11-18,77.94,0.0,1
1999-11-19,77.94,0.0,1
1999-11-22,80.5,0.0,1
1999-11-23,81.75,0.0,1
1999-11-24,87.25,0.0,1
1999-11-26,93.13,0.0,1
1999-11-29,90.44,0.0,1
1999-11-30,85.06,0.0,1
1999-12-01,85.0,0.0,1
1999-12-02,89.06,0.0,1
1999-12-03,86.56,0.0,1
1999-12-06,87.38,0.0,1
1999-12-07,86.06,0.0,1
1999-12-08,88.0,0.0,1
1999-12-09,103.6,0.0,1
1999-12-10,106.7,0.0,1
1999-12-13,102.5,0.0,1
1999-12-14,95.63,0.0,1
1999-12-15,96.5,0.0,1
1999-12-16,94.88,0.0,1
1999-12-17,94.06,0.0,1
1999-12-20,97.0,0.0,1
1999-12-21,99.88,0.0,1
1999-12-22,97.69,0.0,1
1999-12-23,90.0,0.0,1
1999-12-27,81.13,0.0,1
1999-12-28,82.31,0.0,1
1999-12-29,83.5,0.0,1
1999-12-30,79.06,0.0,1
1999-12-31,76.13,0.0,1
2000-01-03,89.38,0.0,1
2000-01-04,81.94,0.0,1
2000-01-05,71.75,0.0,1
2000-01-06,65.56,0.0,1
2000-01-07,69.56,0.0,1
2000-01-10,69.19,0.0,1
2000-01-11,66.75,0.0,1
2000-01-12,63.56,0.0,1
2000-01-13,65.94,0.0,1
2000-01-14,64.25,0.0,1
2000-01-18,64.13,0.0,1
2000-01-19,66.81,0.0,1
2000-01-20,64.75,0.0,1
2000-01-21,62.06,0.0,1
2000-01-24,70.13,0.0,1
2000-01-25,69.25,0.0,1
2000-01-26,64.81,0.0,1
2000-01-27,66.94,0.0,1
2000-01-28,61.69,0.0,1
2000-01-31,64.56,0.0,1
2000-02-01,67.44,0.0,1
2000-02-02,69.44,0.0,1
2000-02-03,84.19,0.0,1
2000-02-04,78.56,0.0,1
2000-02-07,75.0,0.0,1
2000-02-08,83.13,0.0,1
2000-02-09,80.25,0.0,1
2000-02-10,76.19,0.0,1
2000-02-11,76.19,0.0,1
2000-02-14,74.44,0.0,1
2000-02-15,73.81,0.0,1
2000-02-16,70.69,0.0,1
2000-02-17,69.0,0.0,1
2000-02-18,64.75,0.0,1
2000-02-22,63.56,0.0,1
2000-02-23,70.44,0.0,1
2000-02-24,68.44,0.0,1
2000-02-25,69.13,0.0,1
2000-02-28,65.75,0.0,1
2000-02-29,68.88,0.0,1
2000-03-01,65.88,0.0,1
2000-03-02,62.56,0.0,1
2000-03-03,62.5,0.0,1
2000-03-06,63.94,0.0,1
2000-03-07,63.5,0.0,1
2000-03-08,63.63,0.0,1
2000-03-09,68.81,0.0,1
2000-03-10,66.88,0.0,1
2000-03-13,65.31,0.0,1
2000-03-14,65.63,0.0,1
2000-03-15,63.75,0.0,1
2000-03-16,66.25,0.0,1
2000-03-17,64.81,0.0,1
2000-03-20,64.19,0.0,1
2000-03-21,72.38,0.0,1
2000-03-22,70.69,0.0,1
2000-03-23,67.69,0.0,1
2000-03-24,67.69,0.0,1
2000-03-27,73.13,0.0,1
2000-03-28,70.13,0.0,1
2000-03-29,66.25,0.0,1
2000-03-30,66.5,0.0,1
2000-03-31,67.0,0.0,1
2000-04-03,63.56,0.0,1
2000-04-04,63.94,0.0,1
2000-04-05,62.19,0.0,1
2000-04-06,64.25,0.0,1
2000-04-07,67.56,0.0,1
2000-04-10,63.38,0.0,1
2000-04-11,63.38,0.0,1
2000-04-12,56.38,0.0,1
2000-04-13,48.0,0.0,1
2000-04-14,46.88,0.0,1
2000-04-17,47.06,0.0,1
2000-04-18,54.94,0.0,1
2000-04-19,53.44,0.0,1
2000-04-20,52.38,0.0,1
2000-04-24,49.81,0.0,1
2000-04-25,52.44,0.0,1
2000-04-26,53.5,0.0,1
2000-04-27,52.88,0.0,1
2000-04-28,55.19,0.0,1
2000-05-01,59.94,0.0,1
2000-05-02,56.13,0.0,1
2000-05-03,54.13,0.0,1
2000-05-04,55.06,0.0,1
2000-05-05,58.5,0.0,1
2000-05-08,56.02,0.0,1
2000-05-09,56.25,0.0,1
2000-05-10,53.31,0.0,1
