date,close,dividend amount,adjustment factor
1999-11-01,45.72,0.0,2.0
1999-11-02,44.375,0.0,2.0
1999-11-03,44.53,0.0,2.0
1999-11-04,44.125,0.0,2.0
1999-11-05,42.75,0.0,2.0
1999-11-08,44.69,0.0,2.0
1999-11-09,44.625,0.0,2.0
1999-11-10,45.78,0.0,2.0
1999-11-11,45.25,0.0,2.0
1999-11-12,45.69,0.0,2.0
1999-11-15,45.69,0.0,2.0
1999-11-16,46.845,0.0,2.0
1999-11-17,48.28,0.325,2.0
1999-11-18,47.625,0.0,2.0
1999-11-19,46.595,0.0,2.0
1999-11-22,45.565,0.0,2.0
1999-11-23,44.815,0.0,2.0
1999-11-24,45.125,0.0,2.0
1999-11-26,44.5,0.0,2.0
1999-11-29,44.28,0.0,2.0
1999-11-30,44.28,0.0,2.0
1999-12-01,46.25,0.0,2.0
1999-12-02,45.47,0.0,2.0
1999-12-03,45.47,0.0,2.0
1999-12-06,45.5,0.0,2.0
1999-12-07,44.875,0.0,2.0
1999-12-08,45.25,0.0,2.0
1999-12-09,46.095,0.0,2.0
1999-12-10,45.375,0.0,2.0
1999-12-13,44.78,0.0,2.0
1999-12-14,43.905,0.0,2.0
1999-12-15,44.97,0.0,2.0
1999-12-16,44.72,0.0,2.0
1999-12-17,43.75,0.0,2.0
1999-12-20,43.07,0.0,2.0
1999-12-21,42.72,0.0,2.0
1999-12-22,42.375,0.0,2.0
1999-12-23,43.22,0.0,2.0
1999-12-27,42.315,0.0,2.0
1999-12-28,43.25,0.0,2.0
1999-12-29,43.0,0.0,2.0
1999-12-30,42.75,0.0,2.0
1999-12-31,43.315,0.0,2.0
2000-01-03,41.815,0.0,2.0
2000-01-04,41.815,0.0,2.0
2000-01-05,42.72,0.0,2.0
2000-01-06,44.375,0.0,2.0
2000-01-07,45.155,0.0,2.0
2000-01-10,43.94,0.0,2.0
2000-01-11,43.53,0.0,2.0
2000-01-12,43.375,0.0,2.0
2000-01-13,43.78,0.0,2.0
2000-01-14,43.5,0.0,2.0
2000-01-18,44.655,0.0,2.0
2000-01-19,43.97,0.0,2.0
2000-01-20,43.75,0.0,2.0
2000-01-21,44.28,0.0,2.0
2000-01-24,44.405,0.0,2.0
2000-01-25,44.28,0.0,2.0
2000-01-26,43.875,0.0,2.0
2000-01-27,42.155,0.0,2.0
2000-01-28,41.28,0.0,2.0
2000-01-31,41.815,0.0,2.0
2000-02-01,41.595,0.0,2.0
2000-02-02,41.315,0.0,2.0
2000-02-03,40.72,0.0,2.0
2000-02-04,39.28,0.0,2.0
2000-02-07,39.53,0.0,2.0
2000-02-08,39.155,0.0,2.0
2000-02-09,37.5,0.0,2.0
2000-02-10,38.405,0.0,2.0
2000-02-11,37.0,0.0,2.0
2000-02-14,36.905,0.0,2.0
2000-02-15,38.75,0.0,2.0
2000-02-16,38.905,0.325,2.0
2000-02-17,38.875,0.0,2.0
2000-02-18,38.095,0.0,2.0
2000-02-22,37.845,0.0,2.0
2000-02-23,36.625,0.0,2.0
2000-02-24,35.72,0.0,2.0
2000-02-25,35.53,0.0,2.0
2000-02-28,37.28,0.0,2.0
2000-02-29,37.345,0.0,2.0
2000-03-01,37.625,0.0,2.0
2000-03-02,37.845,0.0,2.0
2000-03-03,37.28,0.0,2.0
2000-03-06,37.0,0.0,2.0
2000-03-07,40.5,0.0,2.0
2000-03-08,40.53,0.0,2.0
2000-03-09,41.625,0.0,2.0
2000-03-10,40.19,0.0,2.0
2000-03-13,39.905,0.0,2.0
2000-03-14,41.44,0.0,2.0
2000-03-15,41.97,0.0,2.0
2000-03-16,42.065,0.0,2.0
2000-03-17,41.655,0.0,2.0
2000-03-20,41.47,0.0,2.0
2000-03-21,43.0,0.0,2.0
2000-03-22,42.0,0.0,2.0
2000-03-23,42.315,0.0,2.0
2000-03-24,42.815,0.0,2.0
2000-03-27,42.28,0.0,2.0
2000-03-28,42.44,0.0,2.0
2000-03-29,44.25,0.0,2.0
2000-03-30,46.095,0.0,2.0
2000-03-31,46.22,0.0,2.0
2000-04-03,46.155,0.0,2.0
2000-04-04,44.905,0.0,2.0
2000-04-05,43.75,0.0,2.0
2000-04-06,44.47,0.0,2.0
2000-04-07,43.22,0.0,2.0
2000-04-10,43.03,0.0,2.0
