date,close,dividend amount,adjustment factor
1999-11-01,96.75,0.0,1
1999-11-02,94.81,0.0,1
1999-11-03,94.37,0.0,1
1999-11-04,91.56,0.0,1
1999-11-05,90.25,0.0,1
1999-11-08,93.94,0.12,1
1999-11-09,93.62,0.0,1
1999-11-10,97.0,0.0,1
1999-11-11,95.0,0.0,1
1999-11-12,95.87,0.0,1
1999-11-15,94.06,0.0,1
1999-11-16,94.62,0.0,1
1999-11-17,93.75,0.0,1
1999-11-18,98.0,0.0,1
1999-11-19,103.94,0.0,1
1999-11-22,107.87,0.0,1
1999-11-23,106.06,0.0,1
1999-11-24,104.5,0.0,1
1999-11-26,105.0,0.0,1
1999-11-29,104.19,0.0,1
1999-11-30,103.06,0.0,1
1999-12-01,103.42,0.0,1
1999-12-02,105.27,0.0,1
1999-12-03,111.87,0.0,1
1999-12-06,116.0,0.0,1
1999-12-07,116.62,0.0,1
1999-12-08,118.28,0.0,1
1999-12-09,113.37,0.0,1
1999-12-10,109.0,0.0,1
1999-12-13,109.7,0.0,1
1999-12-14,109.25,0.0,1
1999-12-15,107.0,0.0,1
1999-12-16,109.19,0.0,1
1999-12-17,110.0,0.0,1
1999-12-20,109.2,0.0,1
1999-12-21,110.12,0.0,1
1999-12-22,108.0,0.0,1
1999-12-23,108.62,0.0,1
1999-12-27,109.75,0.0,1
1999-12-28,109.81,0.0,1
1999-12-29,109.0,0.0,1
1999-12-30,108.75,0.0,1
1999-12-31,107.87,0.0,1
2000-01-03,116.0,0.0,1
2000-01-04,112.06,0.0,1
2000-01-05,116.0,0.0,1
2000-01-06,114.0,0.0,1
2000-01-07,113.5,0.0,1
2000-01-10,118.0,0.0,1
2000-01-11,119.0,0.0,1
2000-01-12,119.5,0.0,1
2000-01-13,118.25,0.0,1
2000-01-14,119.62,0.0,1
2000-01-18,115.75,0.0,1
2000-01-19,119.5,0.0,1
2000-01-20,119.0,0.0,1
2000-01-21,121.5,0.0,1
2000-01-24,121.5,0.0,1
2000-01-25,119.12,0.0,1
2000-01-26,116.75,0.0,1
2000-01-27,113.5,0.0,1
2000-01-28,111.56,0.0,1
2000-01-31,112.25,0.0,1
2000-02-01,110.0,0.0,1
2000-02-02,113.5,0.0,1
2000-02-03,117.12,0.0,1
2000-02-04,115.62,0.0,1
2000-02-07,114.12,0.0,1
2000-02-08,118.81,0.12,1
2000-02-09,117.37,0.0,1
2000-02-10,119.12,0.0,1
2000-02-11,115.37,0.0,1
2000-02-14,116.06,0.0,1
2000-02-15,117.12,0.0,1
2000-02-16,115.75,0.0,1
2000-02-17,116.75,0.0,1
2000-02-18,112.5,0.0,1
2000-02-22,111.0,0.0,1
2000-02-23,108.75,0.0,1
2000-02-24,110.5,0.0,1
2000-02-25,108.0,0.0,1
2000-02-28,104.5,0.0,1
2000-02-29,102.75,0.0,1
2000-03-01,100.25,0.0,1
2000-03-02,103.12,0.0,1
2000-03-03,108.0,0.0,1
2000-03-06,103.06,0.0,1
2000-03-07,103.0,0.0,1
2000-03-08,106.25,0.0,1
2000-03-09,108.0,0.0,1
2000-03-10,105.25,0.0,1
2000-03-13,107.69,0.0,1
2000-03-14,108.62,0.0,1
2000-03-15,107.0,0.0,1
2000-03-16,109.0,0.0,1
2000-03-17,110.0,0.0,1
2000-03-20,112.75,0.0,1
2000-03-21,113.5,0.0,1
2000-03-22,114.25,0.0,1
2000-03-23,115.25,0.0,1
2000-03-24,120.62,0.0,1
2000-03-27,126.87,0.0,1
2000-03-28,122.5,0.0,1
2000-03-29,119.0,0.0,1
2000-03-30,122.75,0.0,1
2000-03-31,118.37,0.0,1
2000-04-03,122.0,0.0,1
2000-04-04,121.19,0.0,1
2000-04-05,125.0,0.0,1
2000-04-06,122.75,0.0,1
2000-04-07,123.12,0.0,1
2000-04-10,122.12,0.0,1
2000-04-11,119.37,0.0,1
2000-04-12,113.75,0.0,1
2000-04-13,110.62,0.0,1
2000-04-14,105.0,0.0,1
2000-04-17,111.87,0.0,1
2000-04-18,111.5,0.0,1
2000-04-19,105.0,0.0,1
2000-04-20,104.0,0.0,1
2000-04-24,106.5,0.0,1
2000-04-25,112.5,0.0,1
2000-04-26,110.5,0.0,1
2000-04-27,110.62,0.0,1
2000-04-28,111.5,0.0,1
2000-05-01,112.0,0.0,1
2000-05-02,111.37,0.0,1
2000-05-03,108.12,0.0,1
2000-05-04,107.62,0.0,1
2000-05-05,107.87,0.0,1
2000-05-08,109.75,0.13,1
2000-05-09,109.0,0.0,1
2000-05-10,103.0,0.0,1
2000-05-11,104.44,0.0,1
2000-05-12,104.44,0.0,1
2000-05-15,104.19,0.0,1
2000-05-16,109.0,0.0,1
2000-05-17,107.87,0.0,1
2000-05-18,106.06,0.0,1
2000-05-19,106.44,0.0,1
2000-05-22,109.25,0.0,1
2000-05-23,107.37,0.0,1
2000-05-24,109.62,0.0,1
2000-05-25,106.5,0.0,1
2000-05-26,106.94,0.0,1
2000-05-30,110.94,0.0,1
2000-05-31,107.31,0.0,1
2000-06-01,106.0,0.0,1
2000-06-02,108.81,0.0,1
2000-06-05,112.81,0.0,1
2000-06-06,112.37,0.0,1
2000-06-07,121.0,0.0,1
2000-06-08,119.75,0.0,1
2000-06-09,119.69,0.0,1
2000-06-12,118.84,0.0,1
2000-06-13,119.31,0.0,1
2000-06-14,116.0,0.0,1
2000-06-15,116.81,0.0,1
2000-06-16,113.25,0.0,1
2000-06-19,120.37,0.0,1
2000-06-20,116.37,0.0,1
2000-06-21,114.5,0.0,1
2000-06-22,111.81,0.0,1
2000-06-23,111.87,0.0,1
2000-06-26,114.41,0.0,1
2000-06-27,109.75,0.0,1
2000-06-28,113.78,0.0,1
2000-06-29,114.0,0.0,1
2000-06-30,109.56,0.0,1
2000-07-03,109.5,0.0,1
2000-07-05,105.0,0.0,1
2000-07-06,101.25,0.0,1
2000-07-07,105.06,0.0,1
2000-07-10,103.31,0.0,1
2000-07-11,102.0,0.0,1
2000-07-12,104.62,0.0,1
2000-07-13,104.0,0.0,1
2000-07-14,103.94,0.0,1
2000-07-17,105.5,0.0,1
2000-07-18,103.31,0.0,1
2000-07-19,108.75,0.0,1
2000-07-20,117.25,0.0,1
2000-07-21,114.75,0.0,1
2000-07-24,112.5,0.0,1
2000-07-25,112.0,0.0,1
2000-07-26,109.87,0.0,1
2000-07-27,110.31,0.0,1
2000-07-28,111.81,0.0,1
2000-07-31,112.25,0.0,1
2000-08-01,110.5,0.0,1
2000-08-02,114.25,0.0,1
2000-08-03,116.0,0.0,1
2000-08-04,115.87,0.0,1
2000-08-07,116.31,0.0,1
2000-08-08,118.87,0.13,1
2000-08-09,118.75,0.0,1
2000-08-10,119.75,0.0,1
2000-08-11,120.62,0.0,1
2000-08-14,123.25,0.0,1
2000-08-15,122.0,0.0,1
2000-08-16,122.37,0.0,1
2000-08-17,122.5,0.0,1
2000-08-18,120.44,0.0,1
2000-08-21,121.44,0.0,1
2000-08-22,121.37,0.0,1
2000-08-23,123.25,0.0,1
2000-08-24,124.81,0.0,1
2000-08-25,129.0,0.0,1
2000-08-28,131.5,0.0,1
2000-08-29,132.88,0.0,1
2000-08-30,130.31,0.0,1
2000-08-31,132.02,0.0,1
2000-09-01,133.63,0.0,1
2000-09-05,131.19,0.0,1
2000-09-06,131.44,0.0,1
2000-09-07,133.38,0.0,1
2000-09-08,129.5,0.0,1
2000-09-11,124.5,0.0,1
2000-09-12,125.0,0.0,1
2000-09-13,127.69,0.0,1
2000-09-14,126.87,0.0,1
2000-09-15,125.0,0.0,1
2000-09-18,123.25,0.0,1
2000-09-19,124.94,0.0,1
2000-09-20,124.75,0.0,1
2000-09-21,121.5,0.0,1
2000-09-22,123.87,0.0,1
2000-09-25,123.0,0.0,1
2000-09-26,119.12,0.0,1
2000-09-27,118.0,0.0,1
2000-09-28,115.25,0.0,1
2000-09-29,112.62,0.0,1
2000-10-02,117.81,0.0,1
2000-10-03,110.56,0.0,1
2000-10-04,114.37,0.0,1
2000-10-05,113.19,0.0,1
2000-10-06,116.0,0.0,1
2000-10-09,117.94,0.0,1
2000-10-10,114.87,0.0,1
2000-10-11,112.0,0.0,1
2000-10-12,103.12,0.0,1
2000-10-13,109.06,0.0,1
2000-10-16,111.12,0.0,1
2000-10-17,113.0,0.0,1
