date,close,dividend amount,adjustment factor
2010-06-29,4.778,0.0,5.0
2010-06-30,4.766,0.0,5.0
2010-07-01,4.392,0.0,5.0
2010-07-02,3.84,0.0,5.0
2010-07-06,3.222,0.0,5.0
2010-07-07,3.16,0.0,5.0
2010-07-08,3.492,0.0,5.0
2010-07-09,3.48,0.0,5.0
2010-07-12,3.41,0.0,5.0
2010-07-13,3.628,0.0,5.0
2010-07-14,3.968,0.0,5.0
2010-07-15,3.978,0.0,5.0
2010-07-16,4.128,0.0,5.0
2010-07-19,4.382,0.0,5.0
2010-07-20,4.06,0.0,5.0
2010-07-21,4.044,0.0,5.0
2010-07-22,4.2,0.0,5.0
2010-07-23,4.258,0.0,5.0
2010-07-26,4.19,0.0,5.0
2010-07-27,4.11,0.0,5.0
2010-07-28,4.144,0.0,5.0
2010-07-29,4.07,0.0,5.0
2010-07-30,3.988,0.0,5.0
2010-08-02,4.184,0.0,5.0
2010-08-03,4.39,0.0,5.0
2010-08-04,4.252,0.0,5.0
2010-08-05,4.09,0.0,5.0
2010-08-06,3.918,0.0,5.0
2010-08-09,3.92,0.0,5.0
2010-08-10,3.806,0.0,5.0
2010-08-11,3.58,0.0,5.0
2010-08-12,3.52,0.0,5.0
2010-08-13,3.664,0.0,5.0
2010-08-16,3.756,0.0,5.0
2010-08-17,3.83,0.0,5.0
2010-08-18,3.754,0.0,5.0
2010-08-19,3.758,0.0,5.0
2010-08-20,3.82,0.0,5.0
2010-08-23,4.026,0.0,5.0
2010-08-24,3.84,0.0,5.0
2010-08-25,3.98,0.0,5.0
2010-08-26,3.95,0.0,5.0
2010-08-27,3.94,0.0,5.0
2010-08-30,3.974,0.0,5.0
2010-08-31,3.896,0.0,5.0
2010-09-01,4.09,0.0,5.0
2010-09-02,4.212,0.0,5.0
2010-09-03,4.21,0.0,5.0
2010-09-07,4.108,0.0,5.0
2010-09-08,4.18,0.0,5.0
2010-09-09,4.142,0.0,5.0
2010-09-10,4.034,0.0,5.0
2010-09-13,4.144,0.0,5.0
2010-09-14,4.224,0.0,5.0
2010-09-15,4.396,0.0,5.0
2010-09-16,4.188,0.0,5.0
2010-09-17,4.046,0.0,5.0
2010-09-20,4.211,0.0,5.0
2010-09-21,4.154,0.0,5.0
2010-09-22,3.974,0.0,5.0
2010-09-23,3.912,0.0,5.0
2010-09-24,4.02,0.0,5.0
2010-09-27,4.106,0.0,5.0
2010-09-28,4.28,0.0,5.0
2010-09-29,4.396,0.0,5.0
2010-09-30,4.081,0.0,5.0
2010-10-01,4.12,0.0,5.0
2010-10-04,4.198,0.0,5.0
2010-10-05,4.224,0.0,5.0
2010-10-06,4.092,0.0,5.0
2010-10-07,4.086,0.0,5.0
2010-10-08,4.086,0.0,5.0
2010-10-11,4.048,0.0,5.0
2010-10-12,4.048,0.0,5.0
2010-10-13,4.108,0.0,5.0
2010-10-14,4.15,0.0,5.0
2010-10-15,4.108,0.0,5.0
2010-10-18,4.046,0.0,5.0
2010-10-19,4.01,0.0,5.0
2010-10-20,4.13,0.0,5.0
2010-10-21,4.15,0.0,5.0
2010-10-22,4.144,0.0,5.0
2010-10-25,4.17,0.0,5.0
2010-10-26,4.272,0.0,5.0
2010-10-27,4.2,0.0,5.0
2010-10-28,4.238,0.0,5.0
2010-10-29,4.368,0.0,5.0
2010-11-01,4.282,0.0,5.0
2010-11-02,4.25,0.0,5.0
2010-11-03,4.354,0.0,5.0
2010-11-04,4.98,0.0,5.0
2010-11-05,4.888,0.0,5.0
2010-11-08,4.996,0.0,5.0
