date,close,dividend amount
1999-11-01,2.772,0.0
1999-11-02,2.866,0.0
1999-11-03,2.911,0.0
1999-11-04,2.986,0.0
1999-11-05,3.154,0.0
1999-11-08,3.442,0.0
1999-11-09,3.201,0.0
1999-11-10,3.266,0.0
1999-11-11,3.295,0.0
1999-11-12,3.236,0.0
1999-11-15,3.194,0.0
1999-11-16,3.257,0.0
1999-11-17,3.223,0.0
1999-11-18,3.201,0.0
1999-11-19,3.301,0.0
1999-11-22,3.236,0.0
1999-11-23,3.315,0.0
1999-11-24,3.382,0.0
1999-11-26,3.395,0.0
1999-11-29,3.377,0.0
1999-11-30,3.495,0.0
1999-12-01,3.681,0.0
1999-12-02,3.935,0.0
1999-12-03,4.107,0.0
1999-12-06,4.143,0.0
1999-12-07,4.208,0.0
1999-12-08,3.931,0.0
1999-12-09,3.759,0.0
1999-12-10,3.679,0.0
1999-12-13,3.536,0.0
1999-12-14,3.388,0.0
1999-12-15,3.464,0.0
1999-12-16,3.511,0.0
1999-12-17,3.571,0.0
1999-12-20,3.5,0.0
1999-12-21,3.661,0.0
1999-12-22,3.569,0.0
1999-12-23,3.696,0.0
1999-12-27,3.547,0.0
1999-12-28,3.507,0.0
1999-12-29,3.596,0.0
1999-12-30,3.583,0.0
1999-12-31,3.672,0.0
2000-01-03,3.998,0.0
2000-01-04,3.661,0.0
2000-01-05,3.714,0.0
2000-01-06,3.393,0.0
2000-01-07,3.554,0.0
2000-01-10,3.491,0.0
2000-01-11,3.312,0.0
2000-01-12,3.114,0.0
2000-01-13,3.455,0.0
2000-01-14,3.587,0.0
2000-01-18,3.712,0.0
2000-01-19,3.806,0.0
2000-01-20,4.054,0.0
2000-01-21,3.975,0.0
2000-01-24,3.795,0.0
2000-01-25,4.009,0.0
2000-01-26,3.935,0.0
2000-01-27,3.929,0.0
2000-01-28,3.629,0.0
2000-01-31,3.705,0.0
2000-02-01,3.58,0.0
2000-02-02,3.529,0.0
2000-02-03,3.69,0.0
2000-02-04,3.857,0.0
2000-02-07,4.074,0.0
2000-02-08,4.103,0.0
2000-02-09,4.022,0.0
2000-02-10,4.054,0.0
2000-02-11,3.884,0.0
2000-02-14,4.136,0.0
2000-02-15,4.25,0.0
2000-02-16,4.076,0.0
2000-02-17,4.103,0.0
2000-02-18,3.973,0.0
2000-02-22,4.065,0.0
2000-02-23,4.152,0.0
2000-02-24,4.114,0.0
2000-02-25,3.942,0.0
2000-02-28,4.045,0.0
2000-02-29,4.094,0.0
2000-03-01,4.654,0.0
2000-03-02,4.357,0.0
2000-03-03,4.571,0.0
2000-03-06,4.489,0.0
2000-03-07,4.388,0.0
2000-03-08,4.357,0.0
2000-03-09,4.366,0.0
