div start,dividend
2012-05-11,0.09464
2012-08-09,0.09464
2012-11-07,0.09464
2013-02-07,0.10893
2013-05-09,0.10893
2013-08-08,0.10893
2013-11-06,0.10893
2014-02-06,0.1175
2014-05-08,0.1175
2014-08-07,0.1175
2014-11-06,0.1175
2015-02-05,0.13
2015-05-07,0.13
2015-08-06,0.13
2015-11-05,0.13
2016-02-04,0.1425
2016-05-05,0.1425
2016-08-04,0.1425
2016-11-03,0.1425
2017-02-09,0.1575
2017-05-11,0.1575
2017-08-10,0.1575
2017-11-10,0.1575
2018-02-09,0.1825
2018-05-11,0.1825
2018-08-10,0.1825
2018-11-08,0.1825
2019-02-08,0.1925
2019-05-10,0.1925
2019-08-09,0.1925
2019-11-07,0.1925
2020-02-07,0.205
2020-05-08,0.205
2020-08-07,0.205
2020-11-06,0.205
2021-02-05,0.22
2021-05-07,0.22
2021-08-06,0.22
2021-11-05,0.22
2022-02-04,0.22
2022-05-06,0.22
2022-08-05,0.22
2022-11-04,0.22
2023-02-03,0.22
2023-05-05,0.22
2023-08-04,0.22
2023-11-03,0.22
2024-02-02,0.22
2024-05-03,0.22
2024-08-02,0.22
2024-11-01,0.22
2025-01-31,
