div_start,div_end,dividend amount
1999-08-06,1999-11-05,0.12
1999-11-08,2000-02-07,0.12
2000-02-08,2000-05-05,0.13
2000-05-08,2000-08-07,0.13
2000-08-08,2000-11-07,0.13
2000-11-08,2001-02-06,0.13
2001-02-07,2001-05-07,0.14
2001-05-08,2001-08-07,0.14
2001-08-08,2001-11-06,0.14
2001-11-07,2002-02-05,0.14
2002-02-06,2002-05-07,0.15
2002-05-08,2002-08-06,0.15
2002-08-07,2002-11-05,0.15
2002-11-06,2003-02-05,0.15
2003-02-06,2003-05-06,0.16
2003-05-07,2003-08-05,0.16
2003-08-06,2003-11-05,0.16
2003-11-06,2004-02-05,0.16
2004-02-06,2004-05-05,0.18
2004-05-06,2004-08-05,0.18
2004-08-06,2004-11-05,0.18
2004-11-08,2005-02-07,0.18
2005-02-08,2005-05-05,0.2
2005-05-06,2005-08-05,0.2
2005-08-08,2005-11-07,0.2
2005-11-08,2006-02-07,0.2
2006-02-08,2006-05-05,0.3
2006-05-08,2006-08-07,0.3
2006-08-08,2006-11-07,0.3
2006-11-08,2007-02-06,0.3
2007-02-07,2007-05-07,0.4
2007-05-08,2007-08-07,0.4
2007-08-08,2007-11-06,0.4
2007-11-07,2008-02-05,0.4
2008-02-06,2008-05-06,0.5
2008-05-07,2008-08-05,0.5
2008-08-06,2008-11-05,0.5
2008-11-06,2009-02-05,0.5
2009-02-06,2009-05-05,0.55
2009-05-06,2009-08-05,0.55
2009-08-06,2009-11-05,0.55
2009-11-06,2010-02-05,0.55
2010-02-08,2010-05-05,0.65
2010-05-06,2010-08-05,0.65
2010-08-06,2010-11-05,0.65
2010-11-08,2011-02-07,0.65
2011-02-08,2011-05-05,0.75
2011-05-06,2011-08-05,0.75
2011-08-08,2011-11-07,0.75
2011-11-08,2012-02-07,0.75
2012-02-08,2012-05-07,0.85
2012-05-08,2012-08-07,0.85
2012-08-08,2012-11-06,0.85
2012-11-07,2013-02-05,0.85
2013-02-06,2013-05-07,0.95
2013-05-08,2013-08-06,0.95
2013-08-07,2013-11-05,0.95
2013-11-06,2014-02-05,0.95
2014-02-06,2014-05-06,1.1
2014-05-07,2014-08-05,1.1
2014-08-06,2014-11-05,1.1
2014-11-06,2015-02-05,1.1
2015-02-06,2015-05-05,1.3
2015-05-06,2015-08-05,1.3
2015-08-06,2015-11-05,1.3
2015-11-06,2016-02-05,1.3
2016-02-08,2016-05-05,1.4
2016-05-06,2016-08-05,1.4
2016-08-08,2016-11-07,1.4
2016-11-08,2017-02-07,1.4
2017-02-08,2017-05-05,1.5
2017-05-08,2017-08-07,1.5
2017-08-08,2017-11-08,1.5
2017-11-09,2018-02-07,1.5
2018-02-08,2018-05-08,1.57
2018-05-09,2018-08-08,1.57
2018-08-09,2018-11-07,1.57
2018-11-08,2019-02-06,1.57
2019-02-07,2019-05-08,1.62
2019-05-09,2019-08-07,1.62
2019-08-08,2019-11-06,1.62
2019-11-07,2020-02-06,1.62
2020-02-07,2020-05-06,1.63
2020-05-07,2020-08-06,1.63
2020-08-07,2020-11-06,1.63
2020-11-09,2021-02-08,1.63
2021-02-09,2021-05-06,1.64
2021-05-07,2021-08-03,1.64
