,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,42.5,41.65,10.0,42.0,10.0,0.02,101.0,0.15,400.0
1,45.0,39.15,36.0,39.55,11.0,0.04,112.0,0.17,361.0
2,47.5,36.65,10.0,37.05,36.0,0.06,119.0,0.19,327.0
3,50.0,34.15,6.0,34.65,41.0,0.09,83.0,0.22,308.0
4,55.0,29.15,36.0,29.85,36.0,0.17,155.0,0.3,378.0
5,60.0,24.25,36.0,25.05,36.0,0.35,81.0,0.43,153.0
6,65.0,19.55,1.0,20.25,57.0,0.61,60.0,0.65,36.0
7,70.0,15.05,117.0,15.3,194.0,0.99,117.0,1.06,187.0
8,72.5,12.85,56.0,13.3,368.0,1.29,80.0,1.38,156.0
9,75.0,10.75,54.0,11.0,162.0,1.71,99.0,1.79,141.0
10,77.5,8.75,158.0,9.05,137.0,2.23,90.0,2.32,111.0
11,80.0,7.0,68.0,7.25,216.0,2.92,88.0,3.05,232.0
12,82.5,5.4,53.0,5.6,128.0,3.8,91.0,3.9,104.0
13,85.0,4.05,63.0,4.2,242.0,4.9,36.0,5.05,279.0
14,87.5,2.87,98.0,2.98,67.0,6.2,36.0,6.35,36.0
15,90.0,1.97,66.0,2.05,95.0,7.75,66.0,7.95,179.0
16,92.5,1.27,88.0,1.35,51.0,9.55,65.0,9.8,196.0
17,95.0,0.8,71.0,0.87,81.0,11.55,60.0,11.8,36.0
18,100.0,0.28,69.0,0.33,17.0,15.8,68.0,16.6,51.0
19,105.0,0.07,181.0,0.2,483.0,20.8,36.0,21.2,4.0
20,110.0,0.01,141.0,0.12,76.0,25.75,20.0,26.1,36.0
21,115.0,0.0,0.0,0.06,42.0,30.7,10.0,31.05,10.0
22,120.0,0.0,0.0,0.03,4.0,35.7,10.0,36.05,10.0
