,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,65.0,119.85,6.0,123.2,1.0,0.0,0.0,0.2,18.0
1,70.0,114.55,6.0,118.15,6.0,0.0,0.0,0.2,12.0
2,75.0,109.65,6.0,113.0,6.0,0.0,0.0,0.2,12.0
3,80.0,104.8,6.0,108.05,6.0,0.0,0.0,0.22,18.0
4,85.0,99.8,6.0,103.1,6.0,0.0,0.0,0.28,12.0
5,90.0,94.6,6.0,98.3,6.0,0.0,0.0,0.42,18.0
6,95.0,89.8,6.0,93.15,6.0,0.0,0.0,0.65,18.0
7,100.0,84.8,6.0,88.2,6.0,0.0,0.0,0.97,20.0
8,105.0,80.1,6.0,83.25,6.0,0.0,0.0,1.51,15.0
9,110.0,75.2,6.0,78.3,6.0,0.0,0.0,1.86,45.0
10,115.0,70.0,6.0,73.35,6.0,0.05,30.0,0.32,7.0
11,120.0,65.25,6.0,68.45,6.0,0.0,0.0,0.4,7.0
12,125.0,59.85,6.0,63.7,6.0,0.0,0.0,2.08,20.0
13,130.0,55.35,10.0,58.45,10.0,0.0,0.0,2.21,20.0
14,135.0,50.45,6.0,53.85,6.0,0.0,0.0,2.36,20.0
15,140.0,45.6,10.0,48.35,10.0,0.0,0.0,2.56,20.0
16,145.0,40.25,20.0,44.4,10.0,0.05,20.0,2.74,15.0
17,150.0,35.8,10.0,38.6,10.0,0.8,2.0,1.69,3.0
18,155.0,30.9,6.0,34.2,6.0,0.2,116.0,3.2,15.0
19,160.0,26.35,30.0,29.15,10.0,1.51,1.0,1.87,12.0
20,165.0,21.8,30.0,24.35,10.0,1.21,20.0,2.97,10.0
21,170.0,17.1,10.0,20.15,10.0,1.71,2.0,3.55,20.0
22,175.0,12.55,30.0,15.3,10.0,2.75,20.0,4.15,10.0
23,180.0,8.55,10.0,11.55,10.0,3.2,2.0,4.95,10.0
24,185.0,4.65,6.0,7.25,10.0,4.65,3.0,6.1,10.0
25,190.0,3.25,2.0,4.4,7.0,5.9,3.0,8.4,10.0
26,195.0,1.4,2.0,2.0,1.0,9.0,10.0,11.75,14.0
27,200.0,0.46,2.0,1.15,40.0,13.05,10.0,15.95,10.0
