,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,15.0,24.4,77.0,24.7,77.0,0.05,200.0,0.08,477.0
1,16.0,23.45,57.0,23.7,77.0,0.06,413.0,0.12,1435.0
2,17.0,22.45,57.0,22.75,40.0,0.08,381.0,0.14,196.0
3,18.0,21.5,77.0,21.8,77.0,0.11,540.0,0.16,45.0
4,19.0,20.55,77.0,20.85,77.0,0.15,415.0,0.2,222.0
5,20.0,19.6,77.0,19.9,77.0,0.2,678.0,0.25,455.0
6,21.0,18.7,57.0,18.95,77.0,0.26,635.0,0.31,302.0
7,22.0,17.75,77.0,18.05,77.0,0.33,528.0,0.37,4.0
8,23.0,16.85,89.0,17.15,100.0,0.42,871.0,0.47,418.0
9,24.0,16.0,75.0,16.25,149.0,0.52,714.0,0.56,111.0
10,25.0,15.1,77.0,15.4,106.0,0.65,585.0,0.68,37.0
11,26.0,14.25,51.0,14.55,108.0,0.78,689.0,0.82,194.0
12,27.0,13.5,82.0,13.65,1816.0,0.95,462.0,0.99,764.0
13,28.0,12.65,2058.0,12.85,1877.0,1.13,585.0,1.16,1.0
14,29.0,11.9,90.0,12.05,69.0,1.33,530.0,1.37,112.0
15,30.0,11.15,75.0,11.35,2329.0,1.57,406.0,1.62,238.0
16,31.0,10.4,331.0,10.6,1987.0,1.82,406.0,1.88,7.0
17,32.0,9.7,435.0,9.9,1853.0,2.1,1265.0,2.16,93.0
18,33.0,9.05,95.0,9.2,1447.0,2.42,1145.0,2.48,29.0
19,34.0,8.4,35.0,8.6,1752.0,2.77,509.0,2.84,162.0
20,35.0,7.8,115.0,7.95,1378.0,3.15,195.0,3.25,1283.0
21,36.0,7.2,140.0,7.35,1467.0,3.55,492.0,3.65,763.0
22,37.0,6.65,439.0,6.8,1339.0,4.0,315.0,4.1,1127.0
23,38.0,6.15,120.0,6.3,1545.0,4.45,1396.0,4.55,211.0
24,39.0,5.65,181.0,5.8,976.0,4.95,1529.0,5.05,171.0
25,40.0,5.2,124.0,5.35,1485.0,5.5,631.0,5.6,517.0
26,41.0,4.75,505.0,4.9,1048.0,6.05,1497.0,6.15,99.0
27,42.0,4.35,250.0,4.5,1450.0,6.65,1065.0,6.75,200.0
28,43.0,4.0,159.0,4.1,808.0,7.25,1572.0,7.4,511.0
29,44.0,3.65,160.0,3.75,779.0,7.9,1237.0,8.05,498.0
30,45.0,3.3,1409.0,3.45,1550.0,8.55,1772.0,8.7,152.0
31,46.0,3.05,24.0,3.15,1337.0,9.25,1554.0,9.4,118.0
32,47.0,2.76,230.0,2.85,462.0,10.0,1166.0,10.1,10.0
33,48.0,2.51,240.0,2.59,93.0,10.75,583.0,10.85,21.0
34,49.0,2.27,263.0,2.36,159.0,11.5,1444.0,11.65,71.0
35,50.0,2.06,236.0,2.13,23.0,12.3,538.0,12.4,19.0
36,55.0,1.25,150.0,1.32,75.0,16.45,1472.0,16.65,1706.0
37,60.0,0.73,407.0,0.79,203.0,20.95,2646.0,21.2,1731.0
38,65.0,0.44,293.0,0.48,277.0,25.75,73.0,25.9,38.0
39,70.0,0.26,126.0,0.29,97.0,30.6,77.0,30.85,60.0
