,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,185.0,306.0,6.0,315.3,6.0,0.0,0.0,0.25,9.0
1,190.0,301.0,6.0,310.3,6.0,0.0,0.0,0.25,9.0
2,195.0,296.0,6.0,305.3,6.0,0.0,0.0,0.25,9.0
3,200.0,291.0,6.0,300.3,6.0,0.0,0.0,0.25,9.0
4,210.0,280.3,10.0,288.8,3.0,0.0,0.0,0.25,25.0
5,220.0,272.7,3.0,278.8,1.0,0.0,0.0,0.25,15.0
6,230.0,262.6,3.0,268.9,1.0,0.0,0.0,0.25,22.0
7,240.0,253.0,4.0,260.5,3.0,0.0,0.0,0.25,20.0
8,250.0,240.8,8.0,248.9,3.0,0.0,0.0,0.25,7.0
9,260.0,230.8,8.0,238.9,1.0,0.0,0.0,0.25,20.0
10,270.0,222.9,4.0,229.0,1.0,0.0,0.0,0.25,17.0
11,280.0,213.0,3.0,219.0,1.0,0.0,0.0,0.25,17.0
12,290.0,200.7,8.0,209.0,1.0,0.05,2.0,0.25,14.0
13,300.0,194.5,6.0,199.0,6.0,0.0,0.0,0.25,14.0
14,310.0,180.6,8.0,189.1,1.0,0.05,5.0,0.35,24.0
15,320.0,171.1,8.0,180.5,3.0,0.0,0.0,0.4,26.0
16,330.0,161.1,8.0,169.2,1.0,0.05,1.0,0.45,25.0
17,340.0,153.4,4.0,161.0,1.0,0.0,0.0,0.45,25.0
18,350.0,144.2,3.0,151.1,3.0,0.1,2.0,0.4,6.0
19,360.0,135.0,7.0,139.3,3.0,0.0,0.0,0.45,10.0
20,370.0,125.1,3.0,129.3,3.0,0.25,2.0,0.55,20.0
21,380.0,113.9,6.0,119.7,6.0,0.0,0.0,0.65,11.0
22,390.0,105.1,3.0,109.6,3.0,0.0,0.0,0.85,11.0
23,400.0,95.5,3.0,99.3,2.0,0.6,41.0,1.0,12.0
24,410.0,83.8,3.0,91.3,6.0,0.85,38.0,1.25,20.0
25,420.0,76.2,3.0,80.5,3.0,1.25,35.0,1.45,2.0
26,430.0,66.6,3.0,69.4,3.0,1.65,33.0,1.9,11.0
27,440.0,56.7,3.0,61.3,3.0,2.1,2.0,2.45,13.0
28,450.0,48.9,6.0,50.2,15.0,2.8,2.0,3.2,2.0
29,460.0,40.2,6.0,41.5,16.0,4.0,41.0,4.5,12.0
30,470.0,31.5,45.0,33.1,15.0,5.6,34.0,6.1,3.0
31,480.0,24.0,35.0,25.7,2.0,7.9,30.0,8.9,3.0
32,490.0,17.6,3.0,18.5,30.0,11.1,38.0,12.1,2.0
33,500.0,11.9,3.0,12.7,2.0,15.4,41.0,16.7,30.0
34,510.0,7.6,20.0,8.3,3.0,20.9,34.0,22.6,1.0
35,520.0,4.5,38.0,5.2,3.0,27.9,43.0,29.5,32.0
36,530.0,2.6,29.0,3.1,30.0,35.6,1.0,37.2,30.0
37,540.0,1.35,34.0,1.7,10.0,42.6,6.0,49.3,8.0
38,550.0,0.65,33.0,1.0,40.0,53.2,3.0,57.7,3.0
39,560.0,0.0,0.0,0.65,22.0,63.1,3.0,67.6,6.0
40,570.0,0.0,0.0,0.4,21.0,71.7,4.0,77.5,6.0
41,580.0,0.0,0.0,0.3,20.0,82.6,6.0,87.3,6.0
42,590.0,0.0,0.0,0.4,25.0,91.7,4.0,97.5,6.0
43,600.0,0.0,0.0,0.4,27.0,102.9,6.0,107.5,6.0
44,610.0,0.0,0.0,0.35,24.0,112.7,1.0,117.4,6.0
45,620.0,0.0,0.0,0.25,23.0,122.5,6.0,127.2,6.0
46,640.0,0.0,0.0,0.25,23.0,141.7,4.0,147.5,6.0
47,660.0,0.0,0.0,0.25,23.0,162.5,10.0,167.3,6.0
48,680.0,0.0,0.0,0.25,23.0,181.7,4.0,187.5,6.0
49,700.0,0.0,0.0,0.25,27.0,202.5,6.0,207.3,6.0
50,720.0,0.0,0.0,0.25,27.0,221.7,4.0,227.5,6.0
51,740.0,0.0,0.0,0.25,28.0,242.4,6.0,247.2,6.0
52,760.0,0.0,0.0,0.25,28.0,261.7,4.0,267.6,9.0
53,780.0,0.0,0.0,0.25,28.0,282.9,1.0,287.7,9.0
54,800.0,0.0,0.0,0.25,28.0,302.9,3.0,307.3,3.0
55,820.0,0.0,0.0,0.25,28.0,321.7,4.0,327.5,6.0
56,840.0,0.0,0.0,0.25,28.0,342.4,1.0,347.1,6.0
57,860.0,0.0,0.0,0.25,28.0,362.6,6.0,367.0,6.0
