,0,1,2,3,4
0,29.5,9.4,75.0,,0.0
1,30.0,8.9,75.0,,0.0
2,30.5,8.4,75.0,,0.0
3,31.0,7.9,50.0,,0.0
4,31.5,7.4,136.0,,0.0
5,32.0,6.95,99.0,,0.0
6,32.5,6.45,9.0,,0.0
7,33.0,5.95,19.0,,0.0
8,33.5,5.45,19.0,,0.0
9,34.0,4.95,14.0,,0.0
10,34.5,4.45,19.0,,0.0
11,35.0,4.0,9.0,,0.0
12,35.5,3.5,9.0,,0.0
13,36.0,3.0,10.0,,0.0
14,36.5,2.5,9.0,,0.0
15,37.0,2.01,9.0,,0.0
16,37.5,1.52,9.0,0.01,24.0
17,38.0,1.07,3.0,0.02,62.0
18,38.5,0.63,15.0,0.08,25.0
19,39.0,0.28,31.0,0.22,26.0
20,39.5,0.08,99.0,0.52,22.0
21,40.0,0.02,38.0,0.95,35.0
22,40.5,,0.0,1.41,10.0
23,41.0,,0.0,1.91,9.0
24,41.5,,0.0,2.41,8.0
25,42.0,,0.0,2.91,9.0
26,42.5,,0.0,3.4,25.0
27,43.0,,0.0,3.9,24.0
28,44.0,,0.0,4.9,22.0
29,45.0,,0.0,5.9,14.0
30,45.5,,0.0,6.4,17.0
31,46.0,,0.0,6.9,13.0
32,47.0,,0.0,7.85,25.0
