,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,20.0,17.45,48.0,17.8,81.0,0.0,0.0,0.02,78.0
1,21.0,16.5,177.0,16.75,95.0,0.0,0.0,0.03,606.0
2,22.0,15.5,201.0,15.75,48.0,0.0,0.0,0.03,636.0
3,23.0,14.5,76.0,14.75,48.0,0.0,0.0,0.03,674.0
4,24.0,13.55,48.0,13.8,48.0,0.0,0.0,0.03,637.0
5,25.0,12.5,414.0,12.75,514.0,0.0,0.0,0.03,683.0
6,26.0,11.5,390.0,11.75,450.0,0.0,0.0,0.03,655.0
7,27.0,10.55,48.0,10.75,282.0,0.0,0.0,0.03,400.0
8,28.0,9.55,234.0,9.75,213.0,0.0,0.0,0.03,184.0
9,29.0,8.55,241.0,8.75,113.0,0.0,0.0,0.03,183.0
10,30.0,7.55,260.0,7.8,48.0,0.0,0.0,0.03,170.0
11,31.0,6.55,331.0,6.7,48.0,0.0,0.0,0.03,48.0
12,32.0,5.55,391.0,5.75,171.0,0.0,0.0,0.05,413.0
13,32.5,5.05,313.0,5.25,89.0,0.0,0.0,0.05,461.0
14,33.0,4.6,58.0,4.7,60.0,0.0,0.0,0.01,1.0
15,33.5,4.1,53.0,4.2,21.0,0.0,0.0,0.05,356.0
16,34.0,3.6,48.0,3.7,26.0,0.01,48.0,0.04,259.0
17,34.5,3.1,62.0,3.2,19.0,0.0,0.0,0.04,2.0
18,35.0,2.67,7.0,2.7,83.0,0.03,68.0,0.04,6.0
19,35.5,2.12,88.0,2.46,48.0,0.06,39.0,0.07,36.0
20,36.0,1.73,45.0,1.76,43.0,0.1,44.0,0.11,47.0
21,36.5,1.29,46.0,1.37,48.0,0.17,6.0,0.18,47.0
22,37.0,0.91,37.0,0.93,5.0,0.28,76.0,0.3,166.0
23,37.5,0.59,26.0,0.62,99.0,0.46,14.0,0.48,192.0
24,38.0,0.35,15.0,0.37,67.0,0.71,41.0,0.73,36.0
25,38.5,0.19,32.0,0.21,95.0,1.02,487.0,1.08,72.0
26,39.0,0.1,1.0,0.11,76.0,1.46,12.0,1.48,6.0
27,39.5,0.04,107.0,0.06,106.0,1.9,42.0,1.96,16.0
28,40.0,0.03,3.0,0.04,189.0,2.39,14.0,2.42,26.0
29,40.5,0.01,37.0,0.04,673.0,2.82,57.0,2.94,18.0
30,41.0,0.01,230.0,0.03,90.0,3.35,48.0,3.45,21.0
31,41.5,0.0,0.0,0.03,48.0,3.85,48.0,3.95,17.0
32,42.0,0.0,0.0,0.01,216.0,4.35,48.0,4.45,26.0
33,42.5,0.0,0.0,0.03,141.0,4.85,59.0,4.95,17.0
34,43.0,0.0,0.0,0.03,183.0,5.35,48.0,5.5,526.0
35,43.5,0.0,0.0,0.03,181.0,5.85,48.0,6.0,521.0
36,44.0,0.0,0.0,0.03,183.0,6.35,48.0,6.5,592.0
37,45.0,0.0,0.0,0.01,5.0,7.35,48.0,7.45,19.0
38,46.0,0.0,0.0,0.01,10.0,8.3,359.0,8.5,494.0
39,47.0,0.0,0.0,0.01,40.0,9.3,358.0,9.5,514.0
40,48.0,0.0,0.0,0.03,724.0,10.3,376.0,10.5,48.0
41,49.0,0.0,0.0,0.03,726.0,11.3,365.0,11.5,48.0
42,50.0,0.0,0.0,0.01,43.0,12.35,48.0,12.5,48.0
43,52.5,0.0,0.0,0.03,705.0,14.8,276.0,15.0,462.0
44,55.0,0.0,0.0,0.01,20.0,17.3,412.0,17.5,152.0
45,60.0,0.0,0.0,0.01,10.0,22.3,97.0,22.5,48.0
46,65.0,0.0,0.0,0.01,101.0,27.3,108.0,27.5,48.0
47,70.0,0.0,0.0,0.01,170.0,32.3,110.0,32.5,48.0
