,0,1,2,3,4
0,85.0,32.6,36.0,,0.0
1,90.0,28.05,36.0,,0.0
2,95.0,23.1,36.0,,0.0
3,100.0,18.4,36.0,,0.0
4,101.0,17.25,36.0,,0.0
5,102.0,16.3,36.0,,0.0
6,103.0,15.3,36.0,,0.0
7,104.0,14.35,36.0,,0.0
8,105.0,13.3,36.0,,0.0
9,106.0,12.4,36.0,,0.0
10,107.0,11.35,36.0,,0.0
11,108.0,10.45,36.0,0.01,2.0
12,109.0,9.4,36.0,,0.0
13,110.0,8.45,36.0,,0.0
14,111.0,7.45,9.0,,0.0
15,112.0,6.45,36.0,,0.0
16,113.0,5.45,6.0,,0.0
17,114.0,4.5,15.0,0.05,16.0
18,115.0,3.55,36.0,0.1,1.0
19,116.0,2.7,6.0,0.18,10.0
20,117.0,1.88,13.0,0.34,13.0
21,118.0,1.17,10.0,0.61,33.0
22,119.0,0.64,18.0,1.07,13.0
23,120.0,0.29,13.0,1.71,25.0
24,121.0,0.11,12.0,2.52,2.0
25,122.0,0.04,40.0,3.4,36.0
26,123.0,,0.0,4.35,36.0
27,124.0,0.01,2.0,5.3,36.0
28,125.0,,0.0,6.25,4.0
29,126.0,,0.0,7.3,12.0
30,127.0,,0.0,8.25,36.0
31,128.0,,0.0,9.25,36.0
32,129.0,,0.0,10.25,36.0
33,130.0,,0.0,11.2,36.0
34,131.0,,0.0,12.25,9.0
35,132.0,,0.0,13.2,36.0
36,133.0,,0.0,14.25,36.0
37,134.0,,0.0,15.25,36.0
38,135.0,,0.0,16.25,36.0
39,136.0,,0.0,17.2,36.0
40,137.0,,0.0,18.25,36.0
41,138.0,,0.0,19.2,36.0
42,140.0,,0.0,21.25,36.0
