,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,60.0,57.5,21.0,62.0,1.0,0.01,5.0,0.07,9.0
1,65.0,52.55,3.0,57.0,1.0,0.05,21.0,0.13,18.0
2,70.0,47.5,36.0,52.0,1.0,0.12,21.0,0.2,176.0
3,75.0,42.6,3.0,47.0,1.0,0.18,31.0,0.28,191.0
4,80.0,37.65,1.0,42.0,1.0,0.28,46.0,0.36,58.0
5,85.0,33.0,1.0,37.4,1.0,0.41,49.0,0.5,31.0
6,90.0,28.0,1.0,32.25,2.0,0.64,15.0,0.71,31.0
7,95.0,23.4,2.0,27.7,10.0,0.93,31.0,1.03,31.0
8,100.0,18.2,21.0,20.9,3.0,1.41,31.0,1.51,21.0
9,105.0,15.85,32.0,16.65,31.0,2.13,31.0,2.25,21.0
10,110.0,11.9,31.0,12.25,31.0,3.2,46.0,3.6,60.0
11,115.0,8.3,23.0,8.55,31.0,4.75,46.0,5.2,60.0
12,120.0,5.4,21.0,5.65,46.0,6.9,31.0,7.15,21.0
13,125.0,3.15,32.0,3.35,46.0,9.7,51.0,9.95,35.0
14,130.0,1.66,36.0,1.81,31.0,13.2,31.0,13.5,40.0
15,135.0,0.75,46.0,0.89,46.0,17.25,31.0,17.9,46.0
16,140.0,0.31,46.0,0.41,41.0,20.0,1.0,22.75,20.0
17,145.0,0.12,36.0,0.21,51.0,24.65,2.0,29.0,1.0
18,150.0,0.04,60.0,0.12,46.0,29.5,2.0,34.0,21.0
19,155.0,0.01,100.0,0.52,1.0,34.45,2.0,39.0,51.0
20,160.0,0.0,0.0,0.5,1.0,39.4,1.0,43.9,1.0
21,165.0,0.0,0.0,0.08,21.0,44.35,2.0,48.75,10.0
22,170.0,0.0,0.0,0.05,11.0,49.3,2.0,53.75,1.0
