,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,3.0,25.6,1.0,25.75,2.0,0.02,50.0,0.03,69.0
1,5.0,23.4,80.0,23.8,37.0,0.01,300.0,0.08,64.0
2,8.0,20.65,3.0,20.8,3.0,0.03,123.0,0.21,526.0
3,10.0,18.6,46.0,18.9,32.0,0.1,10.0,0.2,367.0
4,11.0,17.7,30.0,17.9,24.0,0.01,1650.0,0.35,1696.0
5,12.0,16.75,30.0,17.05,80.0,0.15,40.0,0.21,40.0
6,13.0,15.85,30.0,16.05,30.0,0.13,750.0,0.32,290.0
7,14.0,14.85,1.0,15.05,10.0,0.29,12.0,0.52,762.0
8,15.0,13.9,32.0,14.1,22.0,0.33,68.0,0.4,56.0
9,16.0,12.85,54.0,13.2,1.0,0.43,41.0,0.5,107.0
10,17.0,12.1,33.0,12.35,28.0,0.55,14.0,0.6,22.0
11,18.0,11.3,86.0,11.45,32.0,0.69,40.0,0.74,20.0
12,19.0,10.5,44.0,10.65,76.0,0.86,45.0,0.92,51.0
13,20.0,9.7,40.0,9.8,3.0,1.05,40.0,1.11,100.0
14,21.0,8.95,30.0,9.05,21.0,1.28,53.0,1.34,75.0
15,22.0,8.2,35.0,8.3,3.0,1.55,5.0,1.59,3.0
16,23.0,7.5,17.0,7.65,90.0,1.85,8.0,1.9,48.0
17,24.0,6.8,87.0,6.95,10.0,2.18,11.0,2.22,4.0
18,25.0,6.2,40.0,6.35,84.0,2.53,75.0,2.62,95.0
19,26.0,5.6,74.0,5.75,52.0,2.97,10.0,3.0,5.0
20,27.0,5.05,72.0,5.2,69.0,3.4,116.0,3.5,89.0
21,28.0,4.55,85.0,4.7,42.0,3.9,77.0,4.0,99.0
22,29.0,4.1,52.0,4.25,94.0,4.45,1.0,4.5,33.0
23,30.0,3.65,97.0,3.8,138.0,5.0,75.0,5.05,2.0
24,31.0,3.25,70.0,3.4,97.0,5.6,56.0,5.7,86.0
25,32.0,2.93,35.0,3.05,89.0,6.25,44.0,6.35,86.0
26,33.0,2.61,41.0,2.71,4.0,6.9,65.0,7.05,248.0
27,34.0,2.35,11.0,2.42,24.0,7.65,3.0,7.8,387.0
28,35.0,2.08,40.0,2.15,10.0,8.35,56.0,8.5,147.0
29,36.0,1.84,49.0,1.92,22.0,9.15,22.0,9.25,45.0
30,37.0,1.62,89.0,1.72,41.0,9.9,96.0,10.05,40.0
31,38.0,1.46,82.0,1.54,1.0,10.75,32.0,10.9,94.0
32,39.0,1.29,86.0,1.37,64.0,11.6,23.0,11.7,10.0
33,40.0,1.15,178.0,1.21,6.0,12.45,50.0,12.6,301.0
34,41.0,1.02,223.0,1.09,10.0,13.3,79.0,13.45,50.0
35,42.0,0.9,233.0,0.98,5.0,14.2,57.0,14.35,40.0
36,43.0,0.86,3.0,0.88,10.0,15.1,66.0,15.25,66.0
37,44.0,0.77,9.0,0.78,2.0,16.0,78.0,16.15,52.0
38,45.0,0.69,17.0,0.7,4.0,16.95,21.0,17.05,10.0
39,46.0,0.63,4.0,0.64,10.0,17.85,111.0,18.0,60.0
40,47.0,0.57,4.0,0.58,10.0,18.8,86.0,18.95,80.0
41,48.0,0.51,9.0,0.53,2.0,19.75,75.0,19.9,52.0
42,49.0,0.47,1.0,0.48,10.0,20.7,59.0,20.85,40.0
43,50.0,0.42,17.0,0.44,2.0,21.6,59.0,21.85,30.0
44,52.5,0.33,34.0,0.37,59.0,24.05,57.0,24.4,107.0
45,55.0,0.27,20.0,0.28,17.0,26.5,56.0,26.7,10.0
46,57.5,0.22,17.0,0.24,17.0,28.95,54.0,29.15,30.0
47,60.0,0.18,1.0,0.21,58.0,31.4,30.0,31.75,30.0
48,62.5,0.05,885.0,0.23,767.0,33.9,30.0,34.2,36.0
49,65.0,0.04,594.0,0.26,772.0,36.35,30.0,36.6,30.0
50,67.5,0.05,367.0,0.23,616.0,38.8,59.0,39.25,50.0
51,70.0,0.04,297.0,0.23,563.0,41.35,30.0,41.55,39.0
52,75.0,0.04,87.0,0.14,184.0,46.3,47.0,46.45,1.0
53,80.0,0.05,10.0,0.07,30.0,51.3,30.0,51.45,27.0
54,85.0,0.04,34.0,0.05,8.0,56.25,57.0,56.55,80.0
55,90.0,0.03,2.0,0.04,18.0,61.3,7.0,61.45,36.0
