,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,65.0,78.75,2.0,83.5,30.0,0.06,172.0,0.26,310.0
1,70.0,73.75,2.0,78.5,30.0,0.15,31.0,0.49,266.0
2,75.0,68.8,2.0,73.5,30.0,0.08,191.0,0.65,235.0
3,80.0,64.0,36.0,68.95,2.0,0.14,239.0,0.66,229.0
4,85.0,59.0,36.0,63.95,2.0,0.27,247.0,0.79,222.0
5,90.0,54.0,36.0,58.95,2.0,0.55,127.0,0.76,10.0
6,95.0,49.05,21.0,54.0,30.0,0.88,61.0,1.08,95.0
7,100.0,44.5,36.0,49.45,2.0,1.09,70.0,1.42,134.0
8,105.0,39.55,21.0,44.5,30.0,1.54,60.0,1.75,80.0
9,110.0,35.85,138.0,39.05,35.0,1.97,61.0,2.23,73.0
10,115.0,32.45,70.0,34.1,288.0,2.63,58.0,2.81,53.0
11,120.0,26.95,290.0,30.0,298.0,3.35,60.0,3.65,115.0
12,125.0,24.0,31.0,25.7,293.0,4.45,29.0,4.5,20.0
13,130.0,19.0,322.0,22.4,341.0,5.3,161.0,5.85,103.0
14,135.0,16.6,31.0,17.85,240.0,6.95,67.0,7.35,140.0
15,140.0,12.35,377.0,14.55,250.0,8.7,74.0,9.15,145.0
16,145.0,10.65,35.0,11.45,231.0,10.8,67.0,11.25,63.0
17,150.0,8.4,45.0,8.9,145.0,13.15,102.0,13.8,52.0
18,155.0,6.15,66.0,6.75,45.0,16.05,117.0,17.5,389.0
19,160.0,4.45,106.0,5.0,31.0,19.3,127.0,21.05,459.0
20,165.0,3.25,21.0,3.7,64.0,21.95,247.0,24.9,393.0
21,170.0,2.2,114.0,2.68,111.0,26.65,196.0,29.2,439.0
22,175.0,1.53,72.0,1.89,46.0,30.15,183.0,32.75,414.0
23,180.0,1.01,65.0,1.33,74.0,33.8,293.0,36.9,373.0
24,185.0,0.65,120.0,0.96,45.0,38.4,33.0,42.5,28.0
25,190.0,0.42,224.0,0.65,10.0,43.05,32.0,47.3,20.0
26,195.0,0.32,87.0,0.54,131.0,47.5,36.0,52.45,2.0
27,200.0,0.27,1.0,0.53,242.0,52.05,21.0,57.0,30.0
28,210.0,0.0,0.0,0.39,273.0,62.0,36.0,67.0,36.0
