,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,23.0,34.3,26.0,35.9,25.0,0.2,4.0,0.65,80.0
1,25.0,32.3,46.0,34.0,35.0,0.3,4.0,0.65,410.0
2,28.0,29.4,42.0,31.1,25.0,0.55,5.0,0.85,40.0
3,30.0,27.4,46.0,29.3,25.0,0.7,30.0,1.05,40.0
4,33.0,24.5,41.0,26.7,25.0,1.0,4.0,1.4,40.0
5,35.0,22.6,48.0,25.1,35.0,1.3,46.0,1.65,1.0
6,38.0,20.1,48.0,22.6,10.0,1.7,66.0,2.0,2.0
7,40.0,18.4,48.0,21.1,20.0,2.1,4.0,2.6,30.0
8,42.0,17.0,48.0,19.8,20.0,2.5,15.0,3.1,30.0
9,45.0,16.1,1.0,17.3,30.0,3.1,1.0,4.4,40.0
10,47.0,13.5,98.0,16.6,20.0,3.4,48.0,5.1,40.0
11,50.0,11.7,48.0,14.7,20.0,4.3,89.0,6.4,65.0
12,55.0,9.1,48.0,12.2,4.0,6.1,62.0,8.7,65.0
13,60.0,8.0,4.0,9.7,3.0,8.6,48.0,11.3,3.0
14,65.0,6.3,5.0,7.8,3.0,12.1,55.0,14.5,35.0
15,70.0,3.3,56.0,6.2,35.0,15.0,48.0,18.0,3.0
16,75.0,3.4,5.0,5.8,3.0,19.5,20.0,21.8,25.0
