,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,65.0,19.2,31.0,19.55,103.0,0.0,0.0,0.05,70.0
1,70.0,14.2,5.0,14.6,25.0,0.0,0.0,0.14,255.0
2,75.0,9.25,37.0,9.7,38.0,0.0,0.0,0.28,628.0
3,76.0,8.3,80.0,8.7,41.0,0.12,4.0,0.14,47.0
4,77.0,7.35,120.0,7.7,33.0,0.15,2.0,0.17,51.0
5,77.5,6.8,64.0,7.3,133.0,0.17,2.0,0.19,48.0
6,78.0,6.4,87.0,6.9,140.0,0.2,2.0,0.22,75.0
7,78.5,5.95,120.0,6.25,21.0,0.22,4.0,0.25,56.0
8,79.0,5.5,313.0,5.7,90.0,0.26,2.0,0.28,111.0
9,79.5,5.05,213.0,5.25,163.0,0.3,2.0,0.32,79.0
10,80.0,4.65,50.0,4.8,168.0,0.35,2.0,0.37,95.0
11,80.5,4.2,65.0,4.35,206.0,0.4,4.0,0.43,82.0
12,81.0,3.8,43.0,3.9,110.0,0.47,16.0,0.5,111.0
13,81.5,3.4,12.0,3.5,140.0,0.55,14.0,0.58,144.0
14,82.0,3.0,10.0,3.1,161.0,0.64,7.0,0.68,78.0
15,82.5,2.63,6.0,2.68,6.0,0.76,6.0,0.8,78.0
16,83.0,2.27,7.0,2.32,114.0,0.89,44.0,0.94,82.0
17,83.5,1.92,8.0,1.98,115.0,1.05,9.0,1.1,231.0
18,84.0,1.61,7.0,1.66,90.0,1.23,8.0,1.28,69.0
19,84.5,1.32,7.0,1.37,60.0,1.45,7.0,1.5,53.0
20,85.0,1.07,14.0,1.11,74.0,1.69,10.0,1.74,77.0
21,85.5,0.85,2.0,0.88,76.0,1.96,7.0,2.02,78.0
22,86.0,0.65,31.0,0.7,66.0,2.27,6.0,2.33,21.0
23,86.5,0.5,21.0,0.53,39.0,2.61,5.0,2.67,33.0
24,87.0,0.37,3.0,0.39,47.0,2.99,4.0,3.05,35.0
25,87.5,0.26,11.0,0.29,44.0,3.3,277.0,3.5,114.0
26,88.0,0.19,24.0,0.21,59.0,3.75,218.0,3.9,77.0
27,88.5,0.13,8.0,0.15,33.0,4.15,14.0,4.45,5.0
28,89.0,0.09,23.0,0.11,42.0,4.6,86.0,4.9,12.0
29,89.5,0.05,127.0,0.07,2.0,5.05,103.0,5.4,99.0
30,90.0,0.03,120.0,0.06,41.0,5.55,112.0,5.9,88.0
31,91.0,0.0,0.0,0.09,613.0,6.55,56.0,6.9,139.0
32,92.0,0.0,0.0,0.06,259.0,7.55,97.0,7.9,130.0
33,95.0,0.0,0.0,0.02,25.0,10.55,101.0,10.9,130.0
