,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,65.0,119.7,6.0,122.65,6.0,0.0,0.0,2.14,31.0
1,70.0,114.75,6.0,117.6,6.0,0.0,0.0,0.5,11.0
2,75.0,109.95,6.0,112.6,6.0,0.0,0.0,2.14,31.0
3,80.0,104.85,6.0,107.65,6.0,0.0,0.0,2.15,31.0
4,85.0,99.5,9.0,102.85,6.0,0.0,0.0,0.5,1.0
5,90.0,95.1,6.0,97.8,6.0,0.0,0.0,0.5,1.0
6,95.0,90.05,6.0,92.7,6.0,0.0,0.0,2.15,31.0
7,100.0,85.2,30.0,87.5,30.0,0.0,0.0,1.0,30.0
8,105.0,79.9,6.0,82.8,6.0,0.0,0.0,2.17,31.0
9,110.0,75.4,6.0,77.9,30.0,0.0,0.0,2.18,31.0
10,115.0,69.9,6.0,72.9,6.0,0.0,0.0,2.19,31.0
11,120.0,65.35,30.0,68.0,30.0,0.03,1.0,1.94,30.0
12,125.0,60.2,30.0,62.8,30.0,0.0,0.0,0.25,5.0
13,130.0,55.3,30.0,57.95,30.0,0.0,0.0,0.25,9.0
14,135.0,50.35,30.0,53.05,30.0,0.0,0.0,2.03,30.0
15,140.0,45.05,30.0,48.0,30.0,0.07,1.0,0.25,2.0
16,145.0,40.5,30.0,43.0,30.0,0.15,1.0,0.45,5.0
17,150.0,35.75,30.0,38.0,30.0,0.32,6.0,0.58,5.0
18,155.0,30.4,30.0,33.15,30.0,0.0,0.0,0.9,2.0
19,160.0,25.8,30.0,28.25,30.0,0.1,26.0,1.3,2.0
20,165.0,20.75,30.0,23.5,30.0,0.35,2.0,2.41,36.0
21,170.0,16.25,36.0,18.8,30.0,0.5,2.0,2.05,2.0
22,175.0,11.75,36.0,14.05,2.0,1.12,2.0,2.3,2.0
23,180.0,7.45,36.0,9.5,5.0,0.94,36.0,3.3,6.0
24,185.0,3.55,36.0,5.8,36.0,2.08,36.0,4.4,36.0
25,190.0,1.4,1.0,1.95,3.0,4.45,35.0,6.75,36.0
26,195.0,0.2,20.0,0.95,8.0,7.8,30.0,10.2,30.0
27,200.0,0.0,0.0,0.15,11.0,12.65,30.0,14.9,30.0
28,205.0,0.0,0.0,0.9,30.0,17.6,6.0,20.1,30.0
29,210.0,0.0,0.0,0.5,1.0,22.6,30.0,24.95,30.0
30,215.0,0.0,0.0,1.78,30.0,27.35,6.0,30.45,6.0
31,220.0,0.0,0.0,0.75,1.0,32.5,6.0,35.3,6.0
32,225.0,0.0,0.0,0.9,30.0,37.5,6.0,40.45,6.0
33,230.0,0.0,0.0,0.83,5.0,42.6,30.0,44.9,30.0
34,235.0,0.0,0.0,0.02,1.0,47.55,6.0,50.3,6.0
35,240.0,0.0,0.0,0.01,10.0,52.55,6.0,55.25,6.0
36,245.0,0.0,0.0,1.6,30.0,57.6,6.0,60.15,6.0
37,250.0,0.0,0.0,0.1,20.0,62.6,6.0,65.2,6.0
38,260.0,0.0,0.0,0.05,1.0,72.45,6.0,75.4,6.0
39,270.0,0.0,0.0,1.76,30.0,82.6,6.0,85.15,6.0
40,280.0,0.0,0.0,1.76,30.0,92.55,6.0,95.3,6.0
41,290.0,0.0,0.0,0.2,1.0,102.3,6.0,105.5,6.0
42,300.0,0.0,0.0,0.01,610.0,112.5,6.0,115.4,6.0
