,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,14.0,25.25,57.0,25.35,60.0,0.0,0.0,0.02,762.0
1,15.0,24.25,81.0,24.35,60.0,0.0,0.0,0.02,762.0
2,16.0,23.25,77.0,23.35,60.0,0.0,0.0,0.02,938.0
3,17.0,22.25,74.0,22.35,60.0,0.0,0.0,0.02,761.0
4,18.0,21.25,77.0,21.35,60.0,0.0,0.0,0.02,748.0
5,19.0,20.25,74.0,20.35,77.0,0.0,0.0,0.02,751.0
6,20.0,19.25,75.0,19.35,60.0,0.0,0.0,0.01,49.0
7,21.0,18.25,57.0,18.35,20.0,0.0,0.0,0.02,100.0
8,22.0,17.25,69.0,17.4,345.0,0.0,0.0,0.02,102.0
9,23.0,16.25,69.0,16.4,345.0,0.0,0.0,0.02,102.0
10,24.0,15.25,75.0,15.35,30.0,0.0,0.0,0.02,188.0
11,25.0,14.25,197.0,14.35,46.0,0.0,0.0,0.01,301.0
12,26.0,13.25,74.0,13.35,46.0,0.0,0.0,0.01,52.0
13,27.0,12.25,57.0,12.35,8.0,0.0,0.0,0.02,160.0
14,28.0,11.25,57.0,11.4,90.0,0.0,0.0,0.02,60.0
15,29.0,10.25,206.0,10.35,5.0,0.0,0.0,0.01,134.0
16,30.0,9.25,442.0,9.4,151.0,0.01,79.0,0.02,100.0
17,31.0,8.3,65.0,8.4,762.0,0.01,345.0,0.03,544.0
18,32.0,7.3,167.0,7.4,745.0,0.03,25.0,0.04,453.0
19,33.0,6.3,295.0,6.4,18.0,0.03,296.0,0.04,120.0
20,33.5,5.8,57.0,5.95,90.0,0.04,283.0,0.05,45.0
21,34.0,5.3,115.0,5.4,5.0,0.05,329.0,0.06,45.0
22,34.5,4.85,104.0,4.95,84.0,0.07,543.0,0.08,275.0
23,35.0,4.35,263.0,4.45,146.0,0.09,512.0,0.1,93.0
24,35.5,3.9,165.0,4.0,65.0,0.12,530.0,0.13,7.0
25,36.0,3.45,390.0,3.55,1039.0,0.17,392.0,0.18,297.0
26,36.5,3.0,961.0,3.1,1175.0,0.23,293.0,0.24,200.0
27,37.0,2.61,6.0,2.64,70.0,0.31,132.0,0.32,176.0
28,37.5,2.21,198.0,2.24,24.0,0.41,249.0,0.42,45.0
29,38.0,1.85,1.0,1.87,27.0,0.54,171.0,0.55,25.0
30,38.5,1.51,152.0,1.53,9.0,0.7,607.0,0.72,92.0
31,39.0,1.22,15.0,1.24,159.0,0.91,91.0,0.92,159.0
32,39.5,0.96,215.0,0.98,114.0,1.15,17.0,1.17,215.0
33,40.0,0.74,180.0,0.76,106.0,1.43,61.0,1.45,164.0
34,40.5,0.57,37.0,0.58,110.0,1.75,189.0,1.77,20.0
35,41.0,0.43,33.0,0.44,179.0,2.11,13.0,2.13,8.0
36,41.5,0.31,407.0,0.33,191.0,2.49,131.0,2.52,14.0
37,42.0,0.23,48.0,0.24,80.0,2.91,39.0,2.95,26.0
38,42.5,0.17,40.0,0.18,376.0,3.35,6.0,3.4,673.0
39,43.0,0.12,302.0,0.13,108.0,3.8,5.0,3.85,283.0
40,43.5,0.09,322.0,0.1,408.0,4.25,175.0,4.35,330.0
41,44.0,0.06,637.0,0.07,64.0,4.7,238.0,4.8,22.0
42,45.0,0.04,9.0,0.05,466.0,5.7,767.0,5.8,357.0
43,46.0,0.02,432.0,0.03,75.0,6.65,237.0,6.8,301.0
44,47.0,0.0,0.0,0.03,100.0,7.65,81.0,7.8,231.0
45,48.0,0.0,0.0,0.03,112.0,8.65,57.0,8.8,231.0
46,49.0,0.0,0.0,0.03,285.0,9.65,57.0,9.75,5.0
47,50.0,0.0,0.0,0.03,78.0,10.65,57.0,10.75,5.0
48,55.0,0.0,0.0,0.01,75.0,15.65,60.0,15.75,20.0
49,60.0,0.0,0.0,0.02,301.0,20.65,45.0,20.75,8.0
50,65.0,0.0,0.0,0.02,883.0,25.65,45.0,25.75,13.0
51,70.0,0.0,0.0,0.01,5.0,30.65,45.0,30.75,20.0
