,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,380.0,112.7,3.0,118.7,1.0,0.0,0.0,0.25,19.0
1,385.0,106.9,3.0,114.9,3.0,0.0,0.0,0.25,14.0
2,390.0,101.9,3.0,108.8,1.0,0.0,0.0,0.35,37.0
3,395.0,98.4,3.0,103.1,3.0,0.0,0.0,0.5,40.0
4,400.0,91.9,3.0,100.0,3.0,0.0,0.0,0.7,29.0
5,405.0,86.9,3.0,95.0,3.0,0.0,0.0,0.9,29.0
6,410.0,83.6,1.0,88.1,3.0,0.0,0.0,0.35,33.0
7,415.0,78.9,9.0,82.9,6.0,0.05,2.0,0.4,20.0
8,420.0,73.6,4.0,78.1,4.0,0.0,0.0,0.45,28.0
9,425.0,67.1,2.0,75.0,6.0,0.0,0.0,0.5,55.0
10,430.0,64.0,6.0,68.2,6.0,0.0,0.0,0.55,51.0
11,435.0,57.3,3.0,65.2,2.0,0.0,0.0,0.6,42.0
12,440.0,52.4,4.0,59.2,3.0,0.0,0.0,0.7,53.0
13,445.0,49.5,3.0,53.2,3.0,0.0,0.0,0.8,67.0
14,450.0,45.1,3.0,48.3,3.0,0.65,2.0,0.8,36.0
15,455.0,40.2,2.0,43.6,2.0,0.8,2.0,0.95,15.0
16,457.5,36.5,3.0,42.5,3.0,0.9,2.0,1.05,10.0
17,460.0,34.0,3.0,40.0,3.0,1.0,2.0,1.15,6.0
18,462.5,31.5,5.0,37.4,1.0,1.1,39.0,1.3,6.0
19,465.0,31.6,12.0,32.9,37.0,1.25,39.0,1.5,35.0
20,467.5,29.4,6.0,30.4,37.0,1.45,38.0,1.65,7.0
21,470.0,27.0,39.0,28.1,36.0,1.65,38.0,1.9,33.0
22,472.5,24.6,2.0,25.9,2.0,1.9,41.0,2.15,15.0
23,475.0,22.7,3.0,23.6,30.0,2.15,39.0,2.5,33.0
24,477.5,20.6,5.0,21.1,2.0,2.5,41.0,2.85,30.0
25,480.0,18.5,4.0,19.0,3.0,2.9,40.0,3.3,35.0
26,482.5,16.5,8.0,17.0,2.0,3.4,37.0,3.8,34.0
27,485.0,14.6,9.0,15.1,3.0,3.9,40.0,4.4,55.0
28,487.5,12.8,6.0,13.3,3.0,4.6,40.0,5.0,12.0
29,490.0,11.0,27.0,11.6,7.0,5.4,41.0,5.9,61.0
30,492.5,9.5,25.0,10.0,4.0,6.3,35.0,6.8,29.0
31,495.0,8.0,27.0,8.5,3.0,7.3,38.0,7.8,7.0
32,497.5,6.7,31.0,7.2,4.0,8.5,9.0,9.0,34.0
33,500.0,5.5,36.0,6.0,34.0,9.8,28.0,10.3,16.0
34,502.5,4.5,17.0,5.0,33.0,11.2,27.0,11.8,34.0
35,505.0,3.6,14.0,4.1,35.0,12.8,9.0,13.4,32.0
36,507.5,2.8,4.0,3.3,52.0,14.6,6.0,15.1,6.0
37,510.0,2.2,16.0,2.6,36.0,16.5,5.0,17.0,8.0
38,512.5,1.65,33.0,2.05,39.0,18.0,43.0,19.0,6.0
39,515.0,1.25,33.0,1.6,36.0,20.1,39.0,21.5,66.0
40,517.5,0.95,33.0,1.2,33.0,22.3,39.0,23.3,5.0
41,520.0,0.7,40.0,0.95,33.0,24.1,2.0,26.9,4.0
42,522.5,0.5,41.0,0.7,33.0,25.6,3.0,29.1,3.0
43,525.0,0.35,43.0,0.55,33.0,27.0,3.0,32.7,3.0
44,530.0,0.0,0.0,0.5,79.0,32.9,3.0,36.9,6.0
45,540.0,0.0,0.0,0.75,25.0,41.6,1.0,48.2,3.0
46,550.0,0.0,0.0,0.4,42.0,51.5,1.0,58.3,3.0
47,560.0,0.0,0.0,0.25,64.0,61.5,1.0,68.5,3.0
48,570.0,0.0,0.0,0.2,24.0,71.5,1.0,78.2,3.0
