,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,20.0,17.45,16.0,17.8,48.0,0.09,53.0,0.13,61.0
1,23.0,14.5,64.0,14.85,48.0,0.21,31.0,0.25,39.0
2,25.0,12.5,113.0,12.85,90.0,0.34,33.0,0.37,21.0
3,28.0,9.55,108.0,9.9,93.0,0.65,31.0,0.7,141.0
4,30.0,7.6,48.0,7.95,4.0,0.98,33.0,1.03,61.0
5,33.0,5.05,91.0,5.2,153.0,1.74,57.0,1.79,19.0
6,35.0,3.6,55.0,3.7,20.0,2.48,61.0,2.54,36.0
7,38.0,2.01,174.0,2.1,55.0,4.0,37.0,4.1,255.0
8,40.0,1.3,69.0,1.36,21.0,5.3,37.0,5.4,92.0
9,42.0,0.8,29.0,0.85,105.0,6.8,31.0,6.9,220.0
10,45.0,0.4,200.0,0.42,383.0,9.35,31.0,9.45,168.0
11,47.0,0.22,21.0,0.26,277.0,11.15,10.0,11.4,405.0
12,50.0,0.11,10.0,0.13,26.0,13.9,48.0,14.35,149.0
13,52.5,0.05,61.0,0.1,208.0,16.3,143.0,16.7,93.0
14,55.0,0.03,500.0,0.09,291.0,18.75,96.0,19.2,353.0
15,60.0,0.02,538.0,0.06,48.0,23.6,87.0,24.0,16.0
16,65.0,0.0,0.0,0.07,252.0,28.3,93.0,29.1,97.0
17,70.0,0.0,0.0,0.02,10.0,33.05,48.0,34.2,48.0
