,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,60.0,57.5,31.0,62.5,36.0,0.09,84.0,0.58,68.0
1,65.0,52.5,36.0,57.5,36.0,0.22,102.0,0.82,106.0
2,70.0,47.5,36.0,52.5,36.0,0.62,46.0,0.96,132.0
3,75.0,42.55,21.0,47.5,30.0,0.92,49.0,1.43,79.0
4,80.0,37.55,21.0,42.5,30.0,1.37,46.0,2.0,81.0
5,85.0,33.0,31.0,37.95,1.0,1.94,46.0,2.65,115.0
6,90.0,29.9,28.0,33.4,10.0,2.67,46.0,3.25,77.0
7,95.0,25.6,80.0,27.0,31.0,3.75,46.0,4.3,73.0
8,100.0,21.45,46.0,23.15,46.0,4.85,46.0,5.45,68.0
9,105.0,16.55,78.0,19.35,31.0,6.25,58.0,6.95,60.0
10,110.0,14.8,34.0,16.05,31.0,7.95,46.0,9.1,68.0
11,115.0,11.75,45.0,12.9,31.0,9.95,31.0,10.7,31.0
12,120.0,9.1,89.0,10.35,32.0,12.35,53.0,13.8,55.0
13,125.0,6.85,165.0,8.0,31.0,15.1,47.0,16.6,46.0
14,130.0,5.05,61.0,5.65,31.0,18.2,55.0,19.9,31.0
15,135.0,3.65,46.0,4.1,31.0,21.7,53.0,23.4,46.0
16,140.0,2.45,68.0,2.92,31.0,25.4,52.0,27.35,198.0
17,145.0,1.65,54.0,2.0,46.0,29.6,69.0,30.8,54.0
18,150.0,1.08,109.0,1.36,31.0,33.95,66.0,35.1,54.0
19,155.0,0.73,60.0,0.95,61.0,36.0,30.0,40.45,21.0
20,160.0,0.43,68.0,0.64,41.0,40.55,1.0,45.05,21.0
21,165.0,0.06,184.0,0.54,46.0,45.55,21.0,50.5,30.0
22,170.0,0.0,0.0,0.37,66.0,50.55,21.0,55.5,30.0
