,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,3.0,25.4,10.0,26.35,10.0,0.18,11.0,0.4,336.0
1,5.0,23.75,1.0,24.55,10.0,0.33,238.0,0.7,446.0
2,8.0,21.3,20.0,22.3,28.0,0.65,606.0,1.3,798.0
3,10.0,19.7,30.0,20.8,43.0,1.23,74.0,1.53,323.0
4,13.0,17.55,30.0,18.45,40.0,1.97,190.0,2.3,194.0
5,15.0,16.15,50.0,16.95,40.0,2.6,54.0,2.81,1.0
6,18.0,14.3,163.0,14.95,31.0,3.7,30.0,3.9,24.0
7,20.0,13.1,161.0,13.75,16.0,4.5,36.0,4.7,1.0
8,23.0,11.65,45.0,12.05,6.0,5.85,204.0,6.15,37.0
9,25.0,10.7,45.0,10.95,1.0,6.9,10.0,7.15,34.0
10,30.0,8.6,30.0,8.9,1.0,9.6,238.0,10.1,243.0
11,35.0,6.85,30.0,7.1,6.0,12.8,30.0,13.15,24.0
12,40.0,5.35,35.0,5.65,1.0,16.4,15.0,16.75,287.0
13,45.0,4.25,4.0,4.35,13.0,19.9,182.0,20.65,198.0
14,50.0,3.3,35.0,3.4,5.0,24.1,51.0,24.65,60.0
15,52.5,2.9,30.0,3.3,382.0,26.0,196.0,27.1,291.0
16,55.0,2.58,52.0,2.75,2.0,28.15,61.0,29.15,60.0
17,57.5,2.05,622.0,2.8,698.0,30.35,87.0,31.15,60.0
18,60.0,1.92,249.0,2.24,1.0,32.5,191.0,33.9,302.0
19,62.5,1.74,220.0,2.26,757.0,35.0,55.0,35.95,60.0
20,65.0,1.56,1.0,1.75,1.0,37.3,55.0,38.2,45.0
21,67.5,1.37,40.0,1.76,364.0,39.65,45.0,40.6,46.0
22,70.0,1.24,22.0,1.4,30.0,42.0,60.0,42.7,60.0
23,75.0,0.92,253.0,1.19,1.0,46.65,60.0,47.65,60.0
24,80.0,0.77,30.0,0.97,20.0,51.55,40.0,52.4,55.0
25,85.0,0.67,11.0,0.85,10.0,56.35,30.0,57.15,30.0
26,90.0,0.59,1.0,0.62,1.0,61.25,30.0,62.0,30.0
