,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,105.0,30.3,30.0,35.0,30.0,0.0,0.0,0.03,42.0
1,110.0,25.3,30.0,29.9,20.0,0.0,0.0,0.04,47.0
2,114.0,21.35,1.0,25.95,10.0,0.0,0.0,0.04,47.0
3,115.0,20.3,30.0,24.9,20.0,0.0,0.0,0.04,49.0
4,116.0,19.5,1.0,23.95,10.0,0.0,0.0,0.04,47.0
5,117.0,18.4,1.0,22.95,20.0,0.0,0.0,0.04,47.0
6,118.0,17.5,1.0,21.95,20.0,0.0,0.0,0.04,47.0
7,119.0,16.4,1.0,19.45,6.0,0.0,0.0,0.03,40.0
8,120.0,15.6,1.0,20.0,60.0,0.0,0.0,0.03,18.0
9,121.0,15.1,1.0,18.95,20.0,0.0,0.0,0.03,40.0
10,122.0,13.6,1.0,17.95,20.0,0.0,0.0,0.03,27.0
11,123.0,13.3,10.0,17.0,40.0,0.0,0.0,0.03,35.0
12,124.0,11.45,10.0,15.8,1.0,0.0,0.0,0.03,36.0
13,125.0,10.5,1.0,14.95,20.0,0.0,0.0,0.03,39.0
14,126.0,9.5,10.0,13.95,20.0,0.0,0.0,0.03,26.0
15,127.0,8.6,1.0,13.0,50.0,0.0,0.0,0.03,25.0
16,128.0,7.6,1.0,12.0,50.0,0.0,0.0,0.03,40.0
17,129.0,7.0,1.0,10.9,20.0,0.0,0.0,0.03,19.0
18,130.0,5.4,1.0,9.95,10.0,0.0,0.0,0.01,40.0
19,131.0,4.5,15.0,8.85,20.0,0.0,0.0,0.01,2.0
20,132.0,4.1,15.0,7.95,20.0,0.0,0.0,0.01,42.0
21,133.0,4.35,5.0,4.85,9.0,0.0,0.0,0.01,1.0
22,134.0,3.4,5.0,3.7,7.0,0.0,0.0,0.01,12.0
23,135.0,2.48,3.0,2.66,10.0,0.0,0.0,0.01,15.0
24,136.0,1.44,20.0,1.72,5.0,0.0,0.0,0.01,113.0
25,137.0,0.47,20.0,0.67,7.0,0.0,0.0,0.01,3.0
26,138.0,0.0,0.0,0.01,25.0,0.31,6.0,0.53,20.0
27,139.0,0.0,0.0,0.01,30.0,1.33,3.0,1.52,10.0
28,140.0,0.0,0.0,0.01,132.0,2.34,7.0,2.51,10.0
29,141.0,0.0,0.0,0.03,21.0,2.66,2.0,4.05,15.0
30,142.0,0.0,0.0,0.03,20.0,3.7,3.0,5.0,14.0
31,143.0,0.0,0.0,0.03,12.0,3.4,15.0,7.35,2.0
32,144.0,0.0,0.0,0.03,16.0,4.55,4.0,8.35,9.0
33,145.0,0.0,0.0,0.03,6.0,5.15,30.0,8.05,7.0
34,146.0,0.0,0.0,0.03,19.0,6.3,8.0,10.6,1.0
35,147.0,0.0,0.0,0.03,17.0,7.8,3.0,11.8,40.0
36,148.0,0.0,0.0,0.03,17.0,8.4,10.0,12.7,1.0
37,149.0,0.0,0.0,0.03,18.0,9.25,1.0,13.7,10.0
38,150.0,0.0,0.0,0.03,17.0,10.8,4.0,14.75,20.0
39,152.5,0.0,0.0,0.03,40.0,13.0,1.0,17.2,10.0
40,155.0,0.0,0.0,0.03,17.0,15.5,2.0,19.6,1.0
41,157.5,0.0,0.0,0.1,31.0,18.0,1.0,22.2,3.0
