,Strike Price,Call bid price,Call bid size,Call ask price,Call ask size,Put bid price,Put bid size,Put ask price,Put ask size
0,52.0,5.7,48.0,6.5,25.0,0.0,0.0,0.2,210.0
1,52.5,5.4,48.0,5.8,10.0,0.0,0.0,0.15,191.0
2,53.0,5.0,4.0,5.4,7.0,0.05,50.0,0.15,116.0
3,53.5,4.3,55.0,5.1,35.0,0.05,87.0,0.15,116.0
4,54.0,4.0,55.0,4.4,8.0,0.1,61.0,0.2,116.0
5,54.5,3.6,82.0,4.0,11.0,0.15,56.0,0.25,159.0
6,55.0,3.2,10.0,3.5,7.0,0.2,58.0,0.3,136.0
7,55.5,2.55,40.0,3.1,30.0,0.25,72.0,0.4,161.0
8,56.0,2.35,42.0,2.8,100.0,0.4,16.0,0.5,160.0
9,56.5,1.95,101.0,2.45,30.0,0.5,51.0,0.65,170.0
10,57.0,1.65,68.0,2.1,73.0,0.65,48.0,0.8,124.0
11,57.5,1.35,48.0,1.7,60.0,0.85,50.0,1.0,120.0
12,58.0,1.15,24.0,1.25,80.0,1.05,48.0,1.2,21.0
13,58.5,0.85,77.0,1.0,55.0,1.2,63.0,1.7,140.0
14,59.0,0.65,117.0,0.8,53.0,1.6,52.0,1.9,46.0
15,59.5,0.5,71.0,0.65,18.0,1.9,79.0,2.3,86.0
16,60.0,0.35,169.0,0.5,51.0,2.3,76.0,2.7,133.0
17,60.5,0.25,75.0,0.4,16.0,2.55,59.0,2.95,14.0
18,61.0,0.2,60.0,0.35,84.0,3.1,90.0,3.6,72.0
19,61.5,0.15,74.0,0.25,30.0,3.5,90.0,3.8,42.0
20,62.0,0.1,72.0,0.2,25.0,4.0,50.0,4.5,64.0
21,62.5,0.1,51.0,0.2,89.0,4.4,14.0,4.8,14.0
22,63.0,0.05,86.0,0.15,30.0,4.8,48.0,5.3,33.0
23,63.5,0.05,65.0,0.15,37.0,5.3,41.0,5.8,37.0
24,64.0,0.0,0.0,0.15,60.0,5.8,48.0,6.3,37.0
25,64.5,0.0,0.0,0.25,167.0,6.3,48.0,6.8,44.0
26,65.0,0.0,0.0,0.2,111.0,6.9,48.0,7.3,47.0
27,65.5,0.0,0.0,0.2,115.0,7.4,41.0,7.7,25.0
28,66.0,0.0,0.0,0.2,100.0,7.9,48.0,8.2,34.0
