date,money market yield,continuous rate
1962-01-02,0.0322,0.03169245
1962-01-03,0.0324,0.03188619
1962-01-04,0.0324,0.03188619
1962-01-05,0.0326,0.03207989
1962-01-08,0.0331,0.03256399
1962-01-09,0.0332,0.03266078
1962-01-10,0.0333,0.03275756
1962-01-11,0.0333,0.03275756
1962-01-12,0.033,0.03246719
1962-01-15,0.0332,0.03266078
1962-01-16,0.033,0.03246719
1962-01-17,0.033,0.03246719
1962-01-18,0.0327,0.03217673
1962-01-19,0.0327,0.03217673
1962-01-22,0.0325,0.03198305
1962-01-23,0.0325,0.03198305
1962-01-24,0.0324,0.03188619
1962-01-25,0.0327,0.03217673
1962-01-26,0.0328,0.03227356
1962-01-29,0.0328,0.03227356
1962-01-30,0.0328,0.03227356
1962-01-31,0.0329,0.03237038
1962-02-01,0.033,0.03246719
1962-02-02,0.033,0.03246719
1962-02-05,0.0329,0.03237038
1962-02-06,0.0329,0.03237038
1962-02-07,0.0329,0.03237038
1962-02-08,0.033,0.03246719
1962-02-09,0.0328,0.03227356
1962-02-13,0.0328,0.03227356
1962-02-14,0.0331,0.03256399
1962-02-15,0.0333,0.03275756
1962-02-16,0.0333,0.03275756
1962-02-19,0.0332,0.03266078
1962-02-20,0.0331,0.03256399
1962-02-21,0.0328,0.03227356
1962-02-23,0.0324,0.03188619
1962-02-26,0.0322,0.03169245
1962-02-27,0.0323,0.03178932
1962-02-28,0.0321,0.03159556
1962-03-01,0.0315,0.03101405
1962-03-02,0.0317,0.03120793
1962-03-05,0.0318,0.03130485
1962-03-06,0.0318,0.03130485
1962-03-07,0.0314,0.0309171
1962-03-08,0.0311,0.03062619
1962-03-09,0.0312,0.03072317
1962-03-12,0.0313,0.03082014
1962-03-13,0.0311,0.03062619
1962-03-14,0.031,0.03052921
1962-03-15,0.031,0.03052921
1962-03-16,0.0306,0.03014116
1962-03-19,0.0303,0.02985002
1962-03-20,0.0302,0.02975296
1962-03-21,0.0301,0.02965588
1962-03-22,0.0294,0.02897611
1962-03-23,0.0294,0.02897611
1962-03-26,0.0295,0.02907325
1962-03-27,0.0295,0.02907325
1962-03-28,0.0296,0.02917038
1962-03-29,0.0296,0.02917038
1962-03-30,0.0297,0.0292675
1962-04-02,0.0295,0.02907325
1962-04-03,0.0293,0.02887896
1962-04-04,0.0288,0.02839307
1962-04-05,0.0289,0.02849027
1962-04-06,0.0289,0.02849027
1962-04-09,0.029,0.02858746
1962-04-10,0.0294,0.02897611
1962-04-11,0.03,0.0295588
1962-04-12,0.03,0.0295588
1962-04-13,0.03,0.0295588
1962-04-16,0.03,0.0295588
1962-04-17,0.03,0.0295588
1962-04-18,0.03,0.0295588
1962-04-19,0.03,0.0295588
1962-04-23,0.0303,0.02985002
1962-04-24,0.0308,0.0303352
1962-04-25,0.0308,0.0303352
1962-04-26,0.0304,0.02994708
1962-04-27,0.0307,0.03023818
1962-04-30,0.0307,0.03023818
1962-05-01,0.0306,0.03014116
1962-05-02,0.0306,0.03014116
1962-05-03,0.0305,0.03004412
1962-05-04,0.0305,0.03004412
1962-05-07,0.0304,0.02994708
1962-05-08,0.0301,0.02965588
1962-05-09,0.0301,0.02965588
1962-05-10,0.0299,0.02946171
1962-05-11,0.03,0.0295588
1962-05-14,0.03,0.0295588
1962-05-15,0.0304,0.02994708
1962-05-16,0.0304,0.02994708
