date,money market yield,continuous rate
1981-09-01,0.1701,0.16658262
1981-09-02,0.1665,0.16312797
1981-09-03,0.1696,0.16610299
1981-09-04,0.1664,0.16303197
1981-09-08,0.1654,0.16207179
1981-09-09,0.1639,0.1606311
1981-09-10,0.159,0.1559212
1981-09-11,0.1576,0.15457449
1981-09-14,0.1527,0.14985746
1981-09-15,0.1516,0.14879776
1981-09-16,0.151,0.14821963
1981-09-17,0.1518,0.14899046
1981-09-18,0.1507,0.14793053
1981-09-21,0.1498,0.14706312
1981-09-22,0.1551,0.15216854
1981-09-23,0.1494,0.14667754
1981-09-24,0.1494,0.14667754
1981-09-25,0.1502,0.14744866
1981-09-28,0.1482,0.14552058
1981-09-29,0.1486,0.14590627
1981-09-30,0.1505,0.14773779
1981-10-01,0.1533,0.15043535
1981-10-02,0.154,0.15110946
1981-10-05,0.1498,0.14706312
1981-10-06,0.1461,0.14349509
1981-10-07,0.1454,0.1428197
1981-10-08,0.1438,0.14127552
1981-10-09,0.1396,0.13721921
1981-10-13,0.1417,0.13924788
1981-10-14,0.1397,0.13731584
1981-10-15,0.14,0.13760571
1981-10-16,0.1418,0.13934446
1981-10-19,0.142,0.13953761
1981-10-20,0.1413,0.13886155
1981-10-21,0.1417,0.13924788
1981-10-22,0.1398,0.13741247
1981-10-23,0.1387,0.13634947
1981-10-26,0.1396,0.13721921
1981-10-27,0.1402,0.13779894
1981-10-28,0.1393,0.13692932
1981-10-29,0.1374,0.13509284
1981-10-30,0.1333,0.13112703
1981-11-02,0.1334,0.13122381
1981-11-04,0.1287,0.12667291
1981-11-05,0.1273,0.12531632
1981-11-06,0.1221,0.12027352
1981-11-09,0.1172,0.11551584
1981-11-10,0.1174,0.11571014
1981-11-12,0.1107,0.10919588
1981-11-13,0.1132,0.11162781
1981-11-16,0.1111,0.10958509
1981-11-17,0.1108,0.10929318
1981-11-18,0.1046,0.10325574
1981-11-19,0.1063,0.10491207
1981-11-20,0.1051,0.10374297
1981-11-23,0.1091,0.10763866
1981-11-24,0.106,0.10461983
1981-11-25,0.1056,0.10423014
1981-11-27,0.1058,0.10442499
1981-11-30,0.1078,0.10637298
1981-12-01,0.1081,0.10666509
1981-12-02,0.1082,0.10676246
1981-12-03,0.1095,0.10802802
1981-12-04,0.1029,0.10159872
1981-12-07,0.1066,0.1052043
1981-12-08,0.1068,0.1053991
1981-12-10,0.1113,0.10977968
1981-12-11,0.1133,0.11172506
1981-12-14,0.114,0.11240572
1981-12-15,0.1135,0.11191955
1981-12-16,0.1138,0.11221126
1981-12-17,0.1162,0.11454419
1981-12-18,0.1133,0.11172506
1981-12-21,0.1156,0.11396108
1981-12-22,0.1151,0.1134751
1981-12-23,0.1194,0.11765264
1981-12-24,0.1157,0.11405827
1981-12-28,0.1175,0.11580729
1981-12-29,0.1222,0.12037056
1981-12-30,0.1186,0.11687575
1981-12-31,0.1154,0.11376669
1982-01-04,0.1187,0.11697287
1982-01-05,0.122,0.12017649
1982-01-06,0.1216,0.11978831
1982-01-07,0.1217,0.11988535
1982-01-08,0.1198,0.11804103
1982-01-11,0.1249,0.12298966
1982-01-12,0.1252,0.12328057
1982-01-13,0.127,0.12502556
1982-01-14,0.1317,0.12957833
1982-01-15,0.1274,0.12541323
1982-01-18,0.1341,0.13190116
1982-01-19,0.1313,0.12919107
1982-01-20,0.1351,0.1328686
1982-01-21,0.1365,0.13422263
1982-01-22,0.1363,0.13402923
1982-01-25,0.1406,0.13818538
1982-01-26,0.1365,0.13422263
1982-01-27,0.134,0.1318044
1982-01-28,0.1284,0.12638225
1982-01-29,0.1308,0.12870693
1982-02-01,0.1477,0.14503841
1982-02-02,0.1449,0.14233721
1982-02-03,0.1464,0.14378451
1982-02-04,0.1438,0.14127552
1982-02-05,0.1463,0.14368804
1982-02-08,0.1504,0.14764142
1982-02-09,0.1491,0.14638833
1982-02-10,0.1488,0.1460991
1982-02-11,0.1506,0.14783416
1982-02-16,0.1549,0.151976
1982-02-17,0.1531,0.15024273
1982-02-18,0.1458,0.14320565
1982-02-19,0.1417,0.13924788
1982-02-22,0.1313,0.12919107
1982-02-23,0.1293,0.12725416
1982-02-24,0.1283,0.12628536
1982-02-25,0.1279,0.12589777
1982-02-26,0.13,0.12793218
1982-03-01,0.1281,0.12609157
1982-03-02,0.1322,0.13006237
1982-03-03,0.1285,0.12647914
1982-03-04,0.1285,0.12647914
1982-03-05,0.1286,0.12657602
1982-03-08,0.1268,0.12483171
1982-03-09,0.1293,0.12725416
1982-03-10,0.13,0.12793218
1982-03-11,0.1324,0.13025596
1982-03-12,0.134,0.1318044
1982-03-15,0.1347,0.13248165
1982-03-16,0.1333,0.13112703
1982-03-17,0.1336,0.13141735
1982-03-18,0.1345,0.13228816
1982-03-19,0.1369,0.13460942
1982-03-22,0.1326,0.13044955
1982-03-23,0.1311,0.12899742
1982-03-24,0.1339,0.13170764
1982-03-25,0.1335,0.13132058
1982-03-26,0.1369,0.13460942
1982-03-29,0.1416,0.1391513
1982-03-30,0.1415,0.13905472
1982-03-31,0.1399,0.13750909
1982-04-01,0.1387,0.13634947
1982-04-02,0.1395,0.13712259
1982-04-05,0.1376,0.13528619
1982-04-06,0.1377,0.13538287
1982-04-07,0.138,0.13567287
1982-04-08,0.1374,0.13509284
1982-04-12,0.1343,0.13209467
1982-04-13,0.1333,0.13112703
1982-04-14,0.1344,0.13219142
1982-04-15,0.1347,0.13248165
1982-04-16,0.1321,0.12996556
1982-04-19,0.1304,0.12831957
1982-04-20,0.1307,0.12861009
1982-04-21,0.1273,0.12531632
1982-04-22,0.1299,0.12783533
1982-04-23,0.1299,0.12783533
1982-04-26,0.1317,0.12957833
1982-04-27,0.1304,0.12831957
1982-04-28,0.1309,0.12880376
1982-04-29,0.132,0.12986876
1982-04-30,0.1315,0.1293847
1982-05-03,0.1346,0.13238491
1982-05-04,0.136,0.1337391
1982-05-05,0.1339,0.13170764
1982-05-06,0.1308,0.12870693
1982-05-07,0.1302,0.12812588
1982-05-10,0.1321,0.12996556
1982-05-11,0.1297,0.12764162
1982-05-12,0.1305,0.12841642
1982-05-13,0.1309,0.12880376
1982-05-14,0.1292,0.12715729
1982-05-17,0.1302,0.12812588
1982-05-18,0.1288,0.12676979
1982-05-19,0.1247,0.12279571
1982-05-20,0.12,0.11823521
1982-05-21,0.1199,0.11813812
1982-05-24,0.1199,0.11813812
1982-05-25,0.1207,0.11891476
1982-05-26,0.1204,0.11862354
1982-05-27,0.1206,0.11881769
1982-05-28,0.1197,0.11794394
1982-06-01,0.1255,0.12357145
1982-06-02,0.1269,0.12492863
1982-06-03,0.1263,0.12434704
1982-06-04,0.1278,0.12580087
1982-06-07,0.1271,0.12512248
1982-06-08,0.1279,0.12589777
1982-06-09,0.1262,0.1242501
1982-06-10,0.1252,0.12328057
1982-06-11,0.1255,0.12357145
1982-06-14,0.1288,0.12676979
1982-06-15,0.1293,0.12725416
1982-06-16,0.1303,0.12822273
1982-06-17,0.1315,0.1293847
1982-06-18,0.1331,0.13093348
1982-06-21,0.1311,0.12899742
1982-06-22,0.1337,0.13151411
1982-06-23,0.1367,0.13441603
1982-06-24,0.136,0.1337391
1982-06-25,0.1387,0.13634947
1982-06-28,0.1381,0.13576954
1982-06-29,0.138,0.13567287
1982-06-30,0.1336,0.13141735
1982-07-01,0.1314,0.12928789
1982-07-02,0.1336,0.13141735
1982-07-06,0.1318,0.12967515
1982-07-07,0.1331,0.13093348
1982-07-08,0.1248,0.12289269
1982-07-09,0.1229,0.12104975
1982-07-12,0.1222,0.12037056
1982-07-13,0.1248,0.12289269
1982-07-14,0.1253,0.12337753
1982-07-15,0.1214,0.1195942
1982-07-16,0.1168,0.11512721
1982-07-19,0.1152,0.1135723
1982-07-20,0.1111,0.10958509
1982-07-21,0.1119,0.11036339
1982-07-22,0.1083,0.10685983
1982-07-23,0.1073,0.10588607
1982-07-26,0.1087,0.10724926
1982-07-27,0.1112,0.10968238
1982-07-28,0.1141,0.11250295
1982-07-29,0.1097,0.10822269
1982-07-30,0.1057,0.10432756
1982-08-02,0.0972,0.09603781
1982-08-03,0.1018,0.10052616
1982-08-04,0.1012,0.09994101
1982-08-05,0.1019,0.10062368
1982-08-06,0.1071,0.10569129
1982-08-09,0.1025,0.10120873
1982-08-10,0.1042,0.10286591
1982-08-11,0.1037,0.10237858
1982-08-12,0.0974,0.09623306
1982-08-13,0.096,0.09486611
1982-08-16,0.0898,0.08880683
1982-08-17,0.0833,0.0824445
1982-08-18,0.0835,0.08264041
1982-08-19,0.0776,0.07685688
