date,linear daily rate,continuous daily rate
2003-01-02,6.917e-05,6.6309e-05
2003-01-03,6.917e-05,6.6309e-05
2003-01-06,7.0751e-05,6.7762e-05
2003-01-07,6.9565e-05,6.6673e-05
2003-01-08,6.6403e-05,6.3761e-05
2003-01-09,7.1937e-05,6.885e-05
2003-01-10,7.1146e-05,6.8125e-05
2003-01-13,6.996e-05,6.7036e-05
2003-01-14,6.7984e-05,6.5218e-05
2003-01-15,6.6798e-05,6.4126e-05
2003-01-16,6.7589e-05,6.4854e-05
2003-01-17,6.3241e-05,6.0839e-05
2003-01-21,6.4032e-05,6.157e-05
2003-01-22,6.3241e-05,6.0839e-05
2003-01-23,6.1265e-05,5.9007e-05
2003-01-24,5.8103e-05,5.6067e-05
2003-01-27,5.9289e-05,5.717e-05
2003-01-28,6.0079e-05,5.7906e-05
2003-01-29,6.1265e-05,5.9007e-05
2003-01-30,6.166e-05,5.9373e-05
2003-01-31,6.0474e-05,5.8273e-05
2003-02-03,6.0474e-05,5.8273e-05
2003-02-04,5.7312e-05,5.533e-05
2003-02-05,5.7708e-05,5.5698e-05
2003-02-06,5.5336e-05,5.3485e-05
2003-02-07,5.415e-05,5.2376e-05
2003-02-10,5.415e-05,5.2376e-05
2003-02-11,5.4545e-05,5.2746e-05
2003-02-12,5.2174e-05,5.0524e-05
2003-02-13,5.0988e-05,4.9411e-05
2003-02-14,5.0988e-05,4.9411e-05
2003-02-18,5.0988e-05,4.9411e-05
2003-02-19,4.9407e-05,4.7925e-05
2003-02-20,4.4664e-05,4.3448e-05
2003-02-21,4.4664e-05,4.3448e-05
2003-02-24,4.1107e-05,4.0074e-05
2003-02-25,3.9526e-05,3.8569e-05
2003-02-26,3.9921e-05,3.8946e-05
2003-02-27,3.8735e-05,3.7816e-05
2003-02-28,3.7154e-05,3.6307e-05
2003-03-03,3.6759e-05,3.593e-05
2003-03-04,3.5573e-05,3.4796e-05
2003-03-05,3.5573e-05,3.4796e-05
2003-03-06,3.5573e-05,3.4796e-05
2003-03-07,3.2411e-05,3.1764e-05
2003-03-10,3.1225e-05,3.0624e-05
2003-03-11,3.083e-05,3.0244e-05
2003-03-12,3.083e-05,3.0244e-05
2003-03-13,3.4783e-05,3.4039e-05
2003-03-14,4.5455e-05,4.4196e-05
2003-03-17,4.5455e-05,4.4196e-05
2003-03-18,5.1383e-05,4.9782e-05
2003-03-19,5.4941e-05,5.3116e-05
2003-03-20,5.336e-05,5.1636e-05
2003-03-21,5.6126e-05,5.4224e-05
2003-03-24,5.2174e-05,5.0524e-05
2003-03-25,5.2569e-05,5.0895e-05
2003-03-26,5.0988e-05,4.9411e-05
2003-03-27,4.7826e-05,4.6435e-05
2003-03-28,4.5059e-05,4.3822e-05
2003-03-31,4.4664e-05,4.3448e-05
2003-04-01,4.5059e-05,4.3822e-05
2003-04-02,4.8617e-05,4.718e-05
2003-04-03,4.8617e-05,4.718e-05
2003-04-04,4.9407e-05,4.7925e-05
2003-04-07,5.4545e-05,5.2746e-05
2003-04-08,5.2964e-05,5.1266e-05
2003-04-09,5.2174e-05,5.0524e-05
2003-04-10,4.9407e-05,4.7925e-05
2003-04-11,5.2569e-05,5.0895e-05
2003-04-14,5.3755e-05,5.2006e-05
2003-04-15,5.2964e-05,5.1266e-05
2003-04-16,5.415e-05,5.2376e-05
2003-04-17,5.5731e-05,5.3854e-05
2003-04-21,5.7708e-05,5.5698e-05
2003-04-22,5.9289e-05,5.717e-05
2003-04-23,5.8498e-05,5.6435e-05
2003-04-24,5.7708e-05,5.5698e-05
2003-04-25,5.6126e-05,5.4224e-05
2003-04-28,5.6126e-05,5.4224e-05
2003-04-29,5.8103e-05,5.6067e-05
2003-04-30,5.5336e-05,5.3485e-05
2003-05-01,6.0079e-05,5.7906e-05
2003-05-02,6.166e-05,5.9373e-05
2003-05-05,5.415e-05,5.2376e-05
2003-05-06,5.2964e-05,5.1266e-05
2003-05-07,4.9802e-05,4.8297e-05
2003-05-08,5.0593e-05,4.904e-05
2003-05-09,4.7826e-05,4.6435e-05
2003-05-12,4.7826e-05,4.6435e-05
2003-05-13,4.7036e-05,4.5689e-05
2003-05-14,4.5455e-05,4.4196e-05
2003-05-15,4.4664e-05,4.3448e-05
2003-05-16,4.4269e-05,4.3074e-05
2003-05-19,4.2292e-05,4.12e-05
2003-05-20,3.913e-05,3.8193e-05
2003-05-21,4.0711e-05,3.9698e-05
2003-05-22,4.0316e-05,3.9322e-05
2003-05-23,4.0316e-05,3.9322e-05
2003-05-27,4.3083e-05,4.195e-05
2003-05-28,4.4269e-05,4.3074e-05
2003-05-29,4.1107e-05,4.0074e-05
2003-05-30,4.1107e-05,4.0074e-05
2003-06-02,4.2688e-05,4.1575e-05
2003-06-03,3.9526e-05,3.8569e-05
2003-06-04,3.7154e-05,3.6307e-05
2003-06-05,3.7154e-05,3.6307e-05
2003-06-06,3.7945e-05,3.7062e-05
2003-06-09,3.4783e-05,3.4039e-05
2003-06-10,3.2016e-05,3.1384e-05
