,(Percent * Avg Return)/(Contract * Day),Strike Date,Call Price,Call Amount,Put Price,Put Amount,Percent Chance In Money
0,1.3154072290218797,2019-11-29,130.0,2.0,117.0,0.0,53.592039800995025
1,1.2512527507752704,2019-11-29,132.0,2.0,117.0,0.0,55.980099502487555
2,0.9248044268440934,2019-11-29,130.0,1.0,117.0,0.0,53.03482587064676
3,0.8430794326895568,2019-11-29,132.0,1.0,117.0,0.0,55.30348258706468
4,0.43365654271743376,2019-11-29,130.0,2.0,117.0,1.0,52.8955223880597
5,0.4288348203483097,2019-11-29,130.0,2.0,120.0,1.0,52.95522388059701
6,0.3936560532848785,2019-11-29,130.0,2.0,125.0,1.0,53.09452736318407
7,0.3716027379145748,2019-11-29,132.0,2.0,117.0,1.0,55.164179104477604
8,0.36580589290901866,2019-11-29,132.0,2.0,120.0,1.0,55.124378109452735
9,0.3542437334210621,2019-11-29,130.0,2.0,126.0,1.0,53.09452736318407
10,0.35069383857831116,2019-11-29,130.0,2.0,128.0,1.0,53.27363184079602
11,0.3288217037811089,2019-11-29,132.0,2.0,125.0,1.0,55.243781094527364
12,0.3261596085859732,2019-11-29,130.0,2.0,127.0,1.0,53.1542288557214
13,0.3191558822790985,2019-11-29,130.0,2.0,129.0,1.0,53.41293532338308
14,0.2871919063320298,2019-11-29,132.0,2.0,126.0,1.0,55.124378109452735
15,0.2835050809536839,2019-11-29,132.0,2.0,128.0,1.0,55.36318407960199
16,0.26679505715014323,2019-11-29,130.0,2.0,130.0,1.0,53.53233830845772
17,0.26374645499500116,2019-11-29,131.0,2.0,117.0,0.0,53.03482587064676
18,0.257560745214739,2019-11-29,132.0,2.0,127.0,1.0,55.1044776119403
19,0.2508887480903676,2019-11-29,130.0,2.0,131.0,1.0,53.95024875621891
20,0.25013453382650536,2019-11-29,132.0,2.0,129.0,1.0,55.4228855721393
21,0.20570218898044584,2019-11-29,130.0,2.0,132.0,1.0,54.46766169154229
22,0.19532604408447723,2019-11-29,132.0,2.0,130.0,1.0,55.46268656716418
23,0.18922594767216044,2019-11-29,130.0,2.0,117.0,2.0,52.875621890547265
24,0.18133938220479026,2019-11-29,130.0,2.0,120.0,2.0,52.8955223880597
25,0.17810162518809958,2019-11-29,132.0,2.0,131.0,1.0,55.86069651741293
26,0.17741760066290255,2019-11-29,130.0,2.0,137.0,1.0,64.35820895522389
27,0.15366631246840035,2019-11-29,130.0,2.0,133.0,1.0,55.4228855721393
28,0.13667922252821318,2019-11-29,132.0,2.0,117.0,2.0,55.06467661691542
29,0.13012078627229864,2019-11-29,132.0,2.0,132.0,1.0,56.21890547263681
30,0.1285807132953338,2019-11-29,132.0,2.0,120.0,2.0,55.144278606965166
31,0.12737009230044874,2019-11-29,130.0,2.0,125.0,2.0,53.014925373134325
32,0.08721279040115516,2019-11-29,132.0,2.0,137.0,1.0,67.363184079602
33,0.07813973639979775,2019-11-29,130.0,2.0,136.0,1.0,62.88557213930348
34,0.07812415437562394,2019-11-29,130.0,2.0,134.0,1.0,56.81592039800994
35,0.0750605131986486,2019-11-29,132.0,2.0,133.0,1.0,57.27363184079602
36,0.07212191211472581,2019-11-29,132.0,2.0,125.0,2.0,55.223880597014926
37,0.06823763292587284,2019-11-29,130.0,2.0,126.0,2.0,52.93532338308458
38,0.06155643316547118,2019-11-29,130.0,2.0,128.0,2.0,53.27363184079602
39,0.05301292436985986,2019-11-29,130.0,2.0,135.0,1.0,59.442786069651746
40,0.04339621271710215,2019-11-29,133.0,2.0,117.0,0.0,56.47761194029851
41,0.025689907357939447,2019-11-29,130.0,2.0,127.0,2.0,52.93532338308458
42,0.01304464686877547,2019-11-29,130.0,2.0,129.0,2.0,53.45273631840796
43,0.010605668096522079,2019-11-29,132.0,2.0,126.0,2.0,55.08457711442786
44,0.0032569782169018487,2019-11-29,132.0,2.0,128.0,2.0,55.2636815920398
45,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
46,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
47,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
48,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
49,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
50,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
51,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
52,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
53,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
54,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
55,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
56,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
57,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
58,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
59,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
60,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
61,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
62,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
63,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
64,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
65,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
66,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
67,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
68,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
69,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
70,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
71,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
72,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
73,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
74,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
75,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
76,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
77,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
78,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
79,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
80,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
81,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
82,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
83,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
84,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
85,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
86,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
87,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
88,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
89,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
90,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
91,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
92,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
93,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
94,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
95,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
96,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
97,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
98,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
99,0.0,2019-11-22,0.0,0.0,0.0,0.0,0.0
