,(Percent * Avg Return)/(Contract * Day),Strike Date,Call Price,Call Bid,Call Amount,Put Price,Put Bid,Put Amount,Percent Chance In Money
0,2.5012808833334015,2019-11-29,130.0,6.3,2.0,117.0,0.01,0.0,54.507462686567166
1,2.0283735374207588,2019-11-29,130.0,6.3,1.0,117.0,0.01,0.0,53.95024875621891
2,1.967568615039109,2022-01-21,65.0,69.1,0.0,175.0,43.95,2.0,75.22956326987682
3,1.9621431967537566,2022-01-21,65.0,69.1,0.0,165.0,35.7,2.0,77.15565509518477
4,1.9597885392256469,2022-01-21,65.0,69.1,0.0,175.0,43.95,1.0,75.18477043673012
5,1.9547938114933467,2022-01-21,65.0,69.1,0.0,165.0,35.7,1.0,77.13325867861143
6,1.9404816396535727,2022-01-21,65.0,69.1,0.0,170.0,39.6,2.0,75.81187010078388
7,1.9389434588528671,2019-11-29,131.0,5.3,2.0,117.0,0.01,0.0,54.507462686567166
8,1.9338179637922401,2022-01-21,65.0,69.1,0.0,170.0,39.6,1.0,75.81187010078388
9,1.9331806775609082,2022-01-21,65.0,69.1,0.0,180.0,48.05,2.0,74.2441209406495
10,1.9260736099705211,2022-01-21,65.0,69.1,0.0,180.0,48.05,1.0,74.22172452407615
11,1.895020930145897,2022-01-21,65.0,69.1,0.0,185.0,52.25,2.0,73.34826427771557
12,1.89094398254683,2022-01-21,65.0,69.1,0.0,190.0,56.75,2.0,72.74356103023516
13,1.8862671441208336,2022-01-21,65.0,69.1,0.0,185.0,52.25,1.0,73.25867861142217
14,1.882809347671966,2022-01-21,65.0,69.1,0.0,190.0,56.75,1.0,72.67637178051511
15,1.848538026903528,2021-09-17,65.0,69.1,0.0,160.0,30.95,2.0,77.49725576289791
16,1.8443299540595448,2021-09-17,65.0,69.1,0.0,170.0,39.0,2.0,75.54335894621296
17,1.8399168905891796,2021-09-17,65.0,69.1,0.0,160.0,30.95,1.0,77.47530186608122
18,1.8365014283287062,2021-09-17,65.0,69.1,0.0,155.0,27.2,2.0,78.50713501646543
19,1.8348333272116242,2021-09-17,65.0,69.1,0.0,170.0,39.0,1.0,75.4774972557629
20,1.8277848447837866,2021-09-17,65.0,69.1,0.0,155.0,27.2,1.0,78.48518111964874
21,1.820744568033702,2021-09-17,65.0,69.1,0.0,175.0,43.2,2.0,74.3139407244786
22,1.8092283711653439,2021-09-17,65.0,69.1,0.0,175.0,43.2,1.0,74.1602634467618
23,1.8029499330373246,2021-09-17,65.0,69.1,0.0,165.0,34.65,2.0,76.22392974753018
24,1.80253716427669,2021-09-17,65.0,69.1,0.0,150.0,23.65,2.0,79.8463227222832
25,1.8002057572563444,2022-01-21,65.0,69.1,0.0,160.0,30.95,2.0,77.55879059350504
26,1.7949832513042578,2021-09-17,65.0,69.1,0.0,165.0,34.65,1.0,76.22392974753018
27,1.7936985651601443,2021-09-17,65.0,69.1,0.0,150.0,23.65,1.0,79.82436882546652
