,(Percent * Avg Return)/(Contract * Day),Strike Date,Call Strike,Call Bid Price,Call Size,Put Strike,Put Bid Price,Put Size,Percent Chance In Money
0,12.046133974816323,2019-12-06,105.0,30.4,0.0,140.0,3.7,2.0,72.29514717581543
1,11.830157723973182,2019-12-06,105.0,30.4,0.0,141.0,4.5,2.0,70.16706443914082
2,11.70424874068443,2019-12-06,105.0,30.4,0.0,139.0,2.96,2.0,74.5425616547335
3,11.361663180149439,2019-12-06,105.0,30.4,0.0,140.0,3.7,1.0,71.75815433571996
4,11.149518221055718,2019-12-06,105.0,30.4,0.0,141.0,4.5,1.0,69.5505171042164
5,11.044756225838668,2019-12-06,105.0,30.4,0.0,139.0,2.96,1.0,74.26412092283215
6,10.604627574769054,2019-12-06,105.0,30.4,0.0,150.0,13.1,2.0,64.67780429594272
7,10.000227774302914,2019-12-06,105.0,30.4,0.0,150.0,13.1,1.0,64.24025457438344
8,9.78849728776291,2019-12-06,105.0,30.4,0.0,138.0,2.23,2.0,76.92919649960223
9,9.096214348146201,2019-12-06,105.0,30.4,0.0,138.0,2.23,1.0,76.47175815433572
10,9.001753729208115,2019-12-06,105.0,30.4,0.0,143.0,6.1,2.0,64.67780429594272
11,8.408197478742695,2019-12-06,105.0,30.4,0.0,143.0,6.1,1.0,64.24025457438344
12,8.28719698635364,2019-12-06,105.0,30.4,0.0,152.5,15.4,2.0,62.84805091487669
13,7.769858513733745,2019-12-06,105.0,30.4,0.0,137.0,1.63,2.0,80.23070803500397
14,7.697268513615731,2019-12-06,105.0,30.4,0.0,152.5,15.4,1.0,62.29116945107399
15,7.404337758400928,2019-12-06,105.0,30.4,0.0,147.0,9.85,2.0,62.29116945107399
16,7.074672115258814,2019-12-06,105.0,30.4,0.0,137.0,1.63,1.0,79.8926014319809
17,6.824063847396553,2019-12-06,105.0,30.4,0.0,147.0,9.85,1.0,61.71439936356404
18,6.545390488096755,2019-12-06,142.0,0.02,1.0,140.0,3.7,2.0,71.3206046141607
19,6.446767802113947,2019-12-06,142.0,0.02,1.0,141.0,4.5,2.0,69.2521877486078
